vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-327.9	2.2451	2.1582	2.7402
-327.8	2.2458	2.159	2.7398
-327.7	2.2465	2.1598	2.7394
-327.6	2.2472	2.1607	2.7391
-327.5	2.2479	2.1615	2.7389
-327.4	2.2485	2.1624	2.7387
-327.3	2.2492	2.1633	2.7385
-327.2	2.2501	2.1641	2.7383
-327.1	2.2509	2.165	2.7381
-327	2.2517	2.1659	2.738
-326.9	2.2525	2.1668	2.7379
-326.8	2.2534	2.1676	2.7378
-326.7	2.2543	2.1685	2.7378
-326.6	2.255	2.1694	2.7378
-326.5	2.256	2.1703	2.7378
-326.4	2.2572	2.1712	2.7378
-326.3	2.2582	2.1721	2.7379
-326.2	2.259	2.1729	2.738
-326.1	2.2596	2.1738	2.7381
-326	2.2606	2.1747	2.7383
-325.9	2.2622	2.1756	2.7385
-325.8	2.2639	2.1764	2.7387
-325.7	2.265	2.1773	2.739
-325.6	2.2654	2.1782	2.7393
-325.5	2.2656	2.179	2.7397
-325.4	2.2659	2.1799	2.7402
-325.3	2.2666	2.1808	2.7406
-325.2	2.2674	2.1816	2.7411
-325.1	2.2677	2.1824	2.7417
-325	2.2674	2.1833	2.7423
-324.9	2.2672	2.1842	2.7429
-324.8	2.2672	2.185	2.7436
-324.7	2.2667	2.1859	2.7443
-324.6	2.2661	2.1867	2.745
-324.5	2.2657	2.1876	2.7458
-324.4	2.2654	2.1885	2.7466
-324.3	2.2651	2.1894	2.7475
-324.2	2.2643	2.1903	2.7483
-324.1	2.2639	2.1912	2.7492
-324	2.2634	2.192	2.7501
-323.9	2.2625	2.1929	2.7511
-323.8	2.2618	2.1938	2.752
-323.7	2.2611	2.1947	2.7531
-323.6	2.2602	2.1956	2.754
-323.5	2.2596	2.1965	2.7551
-323.4	2.2592	2.1974	2.7561
-323.3	2.2593	2.1982	2.7571
-323.2	2.259	2.1991	2.7582
-323.1	2.2581	2.2	2.7592
-323	2.2577	2.2008	2.7602
-322.9	2.2582	2.2017	2.7613
-322.8	2.2589	2.2025	2.7624
-322.7	2.2593	2.2033	2.7635
-322.6	2.2596	2.2041	2.7646
-322.5	2.2604	2.2048	2.7657
-322.4	2.2614	2.2056	2.7669
-322.3	2.2619	2.2063	2.768
-322.2	2.2626	2.207	2.7691
-322.1	2.2638	2.2077	2.7702
