	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-315.9	2.3338	2.2519	2.8214
-315.8	2.3344	2.2523	2.8218
-315.7	2.3346	2.2526	2.8222
-315.6	2.3347	2.253	2.8226
-315.5	2.3348	2.2533	2.8231
-315.4	2.335	2.2537	2.8237
-315.3	2.3351	2.254	2.8243
-315.2	2.3357	2.2544	2.825
-315.1	2.336	2.2548	2.8256
-315	2.3361	2.2552	2.8262
-314.9	2.3363	2.2556	2.8268
-314.8	2.3367	2.2559	2.8274
-314.7	2.3368	2.2563	2.828
-314.6	2.3371	2.2567	2.8287
-314.5	2.3374	2.2571	2.8293
-314.4	2.3377	2.2575	2.8299
-314.3	2.3378	2.2579	2.8304
-314.2	2.3378	2.2584	2.8309
-314.1	2.3379	2.2588	2.8314
-314	2.3382	2.2593	2.8318
-313.9	2.3387	2.2597	2.8321
-313.8	2.339	2.2601	2.8323
-313.7	2.3393	2.2606	2.8325
-313.6	2.3393	2.261	2.8326
-313.5	2.3392	2.2615	2.8325
-313.4	2.3391	2.262	2.8324
-313.3	2.3393	2.2624	2.8322
-313.2	2.3392	2.2629	2.8319
-313.1	2.3394	2.2633	2.8315
-313	2.3395	2.2638	2.8311
-312.9	2.3396	2.2643	2.8306
-312.8	2.3395	2.2647	2.8301
-312.7	2.3395	2.2651	2.8295
-312.6	2.3392	2.2655	2.8289
-312.5	2.339	2.2659	2.8282
-312.4	2.3391	2.2663	2.8276
-312.3	2.3393	2.2667	2.8269
-312.2	2.3397	2.267	2.8263
-312.1	2.34	2.2674	2.8256
-312	2.3399	2.2678	2.8249
-311.9	2.3398	2.2682	2.8242
-311.8	2.3395	2.2686	2.8234
-311.7	2.3393	2.2689	2.8226
-311.6	2.3394	2.2694	2.8219
-311.5	2.3394	2.2698	2.821
-311.4	2.3395	2.2702	2.8203
-311.3	2.3397	2.2706	2.8195
-311.2	2.3398	2.2711	2.8187
-311.1	2.3396	2.2715	2.8179
-311	2.3394	2.2719	2.8171
-310.9	2.3394	2.2724	2.8163
-310.8	2.3393	2.2728	2.8155
-310.7	2.3392	2.2732	2.8147
-310.6	2.3391	2.2737	2.814
-310.5	2.3391	2.2741	2.8131
-310.4	2.3389	2.2745	2.8123
-310.3	2.3387	2.2748	2.8116
-310.2	2.3385	2.2752	2.8108
-310.1	2.3384	2.2756	2.81
-310	2.3382	2.276	2.8093
-309.9	2.3379	2.2763	2.8085
-309.8	2.3377	2.2767	2.8078
-309.7	2.3375	2.277	2.8071
-309.6	2.3372	2.2773	2.8065
-309.5	2.3369	2.2776	2.8059
-309.4	2.3367	2.2779	2.8053
-309.3	2.3366	2.2782	2.8048
-309.2	2.3364	2.2784	2.8043
-309.1	2.3361	2.2786	2.8038
-309	2.3359	2.2789	2.8034
