[KWnZOT]	[bar]	[bar]	[bar]
-306.5	1	2.2815	2.7846
-306.4	1	2.2818	2.7849
-306.3	1	2.2815	2.7848
-306.2	1	2.2812	2.784
-306.1	1	2.2806	2.7839
-306	1	2.2806	2.784
-305.9	1	2.2798	2.7831
-305.8	1	2.2796	2.7833
-305.7	1	2.2794	2.7823
-305.6	1	2.2789	2.7816
-305.5	1	2.2784	2.7804
-305.4	1	2.2784	2.7804
-305.3	1	2.2779	2.7785
-305.2	1	2.2771	2.7777
-305.1	1	2.2775	2.778
-305	1	2.2761	2.7761
-304.9	1	2.276	2.7751
-304.8	1	2.2752	2.7741
-304.7	1	2.2742	2.7718
-304.6	1	2.2746	2.7721
-304.5	1	2.2737	2.7695
-304.4	1	2.2736	2.7696
-304.3	1	2.2723	2.7672
-304.2	1	2.2725	2.7668
-304.1	1	2.2713	2.7657
-304	1	2.2711	2.7645
-303.9	1	2.2711	2.7647
-303.8	1	2.2697	2.7628
-303.7	1	2.2697	2.7632
-303.6	1	2.2686	2.7615
-303.5	1	2.268	2.7605
-303.4	1	2.2672	2.7604
-303.3	1	2.267	2.7594
-303.2	1	2.2655	2.7578
-303.1	1	2.2653	2.757
-303	1	2.2646	2.7562
-302.9	1	2.2637	2.7543
-302.8	1	2.2629	2.754
-302.7	1	2.2629	2.7536
-302.6	1	2.2618	2.7521
-302.5	1	2.261	2.7516
-302.4	1	2.26	2.7502
-302.3	1	2.2591	2.7496
-302.2	1	2.2583	2.7485
-302.1	1	2.258	2.7488
-302	1	2.2567	2.748
-301.9	1	2.2561	2.7473
-301.8	1	2.2554	2.7468
-301.7	1	2.2548	2.746
-301.6	1	2.254	2.7454
-301.5	1	2.2538	2.7459
-301.4	1	2.2531	2.7444
-301.3	1	2.252	2.7441
-301.2	1	2.2519	2.7454
-301.1	1	2.2517	2.7452
-301	1	2.2504	2.7454
-300.9	1	2.2497	2.7445
-300.8	1	2.2486	2.7455
-300.7	1	2.2479	2.7454
-300.6	1	2.2473	2.7462
-300.5	1	2.2457	2.7461
-300.4	1	2.2453	2.7466
-300.3	1	2.2444	2.7473
-300.2	1	2.2432	2.7464
-300.1	1	2.2432	2.7473
-300	1	2.2417	2.7464
-299.9	1	2.2418	2.7472
-299.8	1	2.2411	2.7468
-299.7	1	2.2404	2.7468
-299.6	1	2.24	2.7463
-299.5	1	2.2393	2.7469
-299.4	1	2.2387	2.7463
-299.3	1	2.2379	2.746
-299.2	1	2.2375	2.7467
-299.1	1	2.2364	2.7459
-299	1	2.2363	2.7469
-298.9	1	2.2354	2.7469
-298.8	1	2.2348	2.7477
-298.7	1	2.2341	2.7466
-298.6	1	2.2328	2.7467
-298.5	1	2.2327	2.747
-298.4	1	2.2322	2.7467
-298.3	1	2.2316	2.748
-298.2	1	2.2315	2.7475
-298.1	1	2.2307	2.7478
-298	1	2.2303	2.7475
-297.9	1	2.2294	2.747
-297.8	1	2.2292	2.7488
-297.7	1	2.2285	2.7481
-297.6	1	2.2282	2.7494
-297.5	1	2.2277	2.7494
-297.4	1	2.2271	2.7504
-297.3	1	2.2264	2.7502
-297.2	1	2.2256	2.7503
-297.1	1	2.2253	2.7507
-297	1	2.2252	2.7523
-296.9	1	2.2246	2.7515
-296.8	1	2.2241	2.7522
-296.7	1	2.2242	2.7531
-296.6	1	2.2235	2.7529
-296.5	1	2.2236	2.7537
-296.4	1	2.2228	2.7539
-296.3	1	2.2229	2.7549
-296.2	1	2.2222	2.7553
-296.1	1	2.2218	2.755
-296	1	2.2207	2.7554
-295.9	1	2.2205	2.7562
-295.8	1	2.2199	2.7566
-295.7	1	2.2192	2.7566
-295.6	1	2.219	2.7581
-295.5	1	2.2181	2.7577
-295.4	1	2.2179	2.7581
-295.3	1	2.2179	2.7598
-295.2	1	2.2168	2.7587
-295.1	1	2.2167	2.7594
-295	1	2.2166	2.7607
-294.9	1	2.2158	2.7605
-294.8	1	2.2156	2.7615
-294.7	1	2.2153	2.7625
-294.6	1	2.2152	2.7633
-294.5	1	2.2144	2.7639
-294.4	1	2.2141	2.7642
-294.3	1	2.2136	2.7652
-294.2	1	2.2132	2.7665
-294.1	1	2.2128	2.7669
-294	1	2.2123	2.768
-293.9	1	2.2118	2.768
-293.8	1	2.211	2.7682
-293.7	1	2.211	2.7692
-293.6	1	2.2107	2.7699
-293.5	1	2.2102	2.7698
-293.4	1	2.2103	2.7714
-293.3	1	2.2094	2.7709
-293.2	1	2.2093	2.7714
-293.1	1	2.2091	2.7725
-293	1	2.2084	2.7727
-292.9	1	2.2078	2.7729
-292.8	1	2.2076	2.774
-292.7	1	2.2068	2.7739
-292.6	1	2.2064	2.7743
-292.5	1	2.206	2.7762
-292.4	1	2.2058	2.777
-292.3	1	2.2052	2.7765
-292.2	1	2.2052	2.7789
-292.1	1	2.2049	2.7797
-292	1	2.2044	2.7797
-291.9	1	2.2039	2.781
-291.8	1	2.2035	2.7824
-291.7	1	2.2036	2.7839
-291.6	1	2.2031	2.785
-291.5	1	2.2027	2.787
-291.4	1	2.2016	2.787
-291.3	1	2.202	2.7897
-291.2	1	2.201	2.7904
-291.1	1	2.2003	2.7918
-291	1	2.1999	2.7932
-290.9	1	2.1992	2.7941
-290.8	1	2.1988	2.7955
-290.7	1	2.198	2.7967
-290.6	1	2.1978	2.7968
-290.5	1	2.1979	2.7988
-290.4	1	2.1972	2.7989
-290.3	1	2.1965	2.799
-290.2	1	2.1965	2.8003
-290.1	1	2.1966	2.8013
-290	1	2.1957	2.8005
-289.9	1	2.1951	2.801
-289.8	1	2.195	2.8017
-289.7	1	2.1945	2.8019
-289.6	1	2.193	2.8006
-289.5	1	2.1928	2.8014
-289.4	1	2.1926	2.8018
-289.3	1	2.1921	2.8019
-289.2	1	2.1914	2.8013
-289.1	1	2.191	2.8016
-289	1	2.1903	2.8013
-288.9	1	2.1899	2.8016
-288.8	1	2.1894	2.8014
-288.7	1	2.1889	2.8015
-288.6	1	2.1884	2.8019
-288.5	1	2.1878	2.8015
-288.4	1	2.1871	2.8011
-288.3	1	2.1871	2.8029
-288.2	1	2.1861	2.802
-288.1	1	2.1855	2.8024
-288	1	2.1849	2.8026
-287.9	1	2.1847	2.8043
-287.8	1	2.1837	2.8033
-287.7	1	2.1835	2.8046
-287.6	1	2.183	2.8053
-287.5	1	2.1828	2.805
-287.4	1	2.1823	2.8062
-287.3	1	2.1817	2.8065
-287.2	1	2.1813	2.8057
-287.1	1	2.1811	2.8071
-287	1	2.1802	2.8072
-286.9	1	2.18	2.8074
-286.8	1	2.1795	2.8077
-286.7	1	2.1786	2.8074
-286.6	1	2.1782	2.8077
-286.5	1	2.1776	2.8074
-286.4	1	2.1774	2.8081
-286.3	1	2.1768	2.8082
-286.2	1	2.1762	2.8075
-286.1	1	2.1764	2.8082
-286	1	2.1755	2.8074
-285.9	1	2.1751	2.8071
-285.8	1	2.1751	2.8076
-285.7	1	2.1749	2.8078
-285.6	1	2.1742	2.8068
-285.5	1	2.1739	2.8072
-285.4	1	2.1738	2.8075
-285.3	1	2.1737	2.8075
-285.2	1	2.1725	2.8055
-285.1	1	2.1728	2.8063
-285	1	2.1722	2.8063
-284.9	1	2.172	2.8057
-284.8	1	2.1719	2.8058
-284.7	1	2.1714	2.8062
-284.6	1	2.171	2.8045
-284.5	1	2.171	2.8054
-284.4	1	2.1704	2.8041
-284.3	1	2.1707	2.8043
-284.2	1	2.1703	2.8036
-284.1	1	2.1702	2.8041
-284	1	2.1702	2.8047
-283.9	1	2.1693	2.8024
-283.8	1	2.1697	2.8035
-283.7	1	2.1691	2.8025
-283.6	1	2.1689	2.8019
-283.5	1	2.1686	2.8013
-283.4	1	2.1685	2.8008
-283.3	1	2.1682	2.8001
-283.2	1	2.1682	2.7997
-283.1	1	2.168	2.7996
-283	1	2.168	2.7989
-282.9	1	2.1681	2.7986
-282.8	1	2.1675	2.7977
-282.7	1	2.1675	2.7973
-282.6	1	2.1675	2.797
-282.5	1	2.1676	2.7969
-282.4	1	2.167	2.7962
-282.3	1	2.1673	2.7958
-282.2	1	2.1674	2.796
-282.1	1	2.1671	2.7955
-282	1	2.1678	2.7954
-281.9	1	2.1674	2.7948
-281.8	1	2.167	2.793
-281.7	1	2.1675	2.7936
-281.6	1	2.168	2.7938
-281.5	1	2.1681	2.7926
-281.4	1	2.168	2.7922
-281.3	1	2.168	2.7913
-281.2	1	2.1685	2.7904
-281.1	1	2.1685	2.7906
-281	1	2.1685	2.789
-280.9	1	2.1691	2.7892
-280.8	1	2.169	2.7874
-280.7	1	2.1692	2.7875
-280.6	1	2.1694	2.7868
-280.5	1	2.1695	2.7854
-280.4	1	2.1698	2.7847
-280.3	1	2.17	2.7843
-280.2	1	2.1705	2.7834
-280.1	1	2.1708	2.7824
-280	1	2.171	2.7807
-279.9	1	2.1715	2.7805
-279.8	1	2.1718	2.7799
-279.7	1	2.1719	2.7777
-279.6	1	2.1722	2.7773
-279.5	1	2.1725	2.7765
-279.4	1	2.1732	2.7758
-279.3	1	2.173	2.775
-279.2	1	2.1737	2.7738
-279.1	1	2.1738	2.7726
-279	1	2.1739	2.7716
-278.9	1	2.174	2.7701
-278.8	1	2.1752	2.7707
-278.7	1	2.1748	2.7684
-278.6	1	2.1759	2.7692
-278.5	1	2.176	2.767
-278.4	1	2.1764	2.7667
-278.3	1	2.1763	2.765
-278.2	1	2.1772	2.765
-278.1	1	2.1773	2.7635
-278	1	2.1774	2.7622
-277.9	1	2.1782	2.7626
-277.8	1	2.1786	2.7617
-277.7	1	2.1789	2.761
-277.6	1	2.1788	2.7605
-277.5	1	2.1797	2.7604
-277.4	1	2.1804	2.7601
-277.3	1	2.1802	2.7588
-277.2	1	2.1807	2.759
-277.1	1	2.1816	2.759
-277	1	2.1816	2.7579
-276.9	1	2.1822	2.7582
-276.8	1	2.1827	2.7572
-276.7	1	2.183	2.7567
-276.6	1	2.1839	2.7571
-276.5	1	2.1845	2.7574
-276.4	1	2.1843	2.7552
