CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-241.3	0.954966228	5	5	
-241.05	0.955228899	5	5	
-240.8	0.955380579	5	5	
-240.55	0.955522478	5	5	
-240.3	0.955705273	5	5	
-240.05	0.955920208	5	5	
-239.8	0.956118642	5	5	
-239.55	0.956248112	5	5	
-239.3	0.956287601	5	5	
-239.05	0.956266171	5	5	
-238.8	0.956255761	5	5	
-238.55	0.956338967	5	5	
-238.3	0.956563859	5	5	
-238.05	0.956906638	5	5	
-237.8	0.95726408	5	5	
-237.55	0.957487581	5	5	
-237.3	0.957451127	5	5	
-237.05	0.957125017	5	5	
-236.8	0.956617326	5	5	
-236.55	0.956154172	5	5	
-236.3	0.955996847	5	5	
-236.05	0.956327557	5	5	
-235.8	0.957157885	5	5	
-235.55	0.95831	5	5	
-235.3	0.959487499	5	5	
-235.05	0.960405685	5	5	
-234.8	0.96091697	5	5	
-234.55	0.961068405	5	5	
-234.3	0.961066456	5	5	
-234.05	0.961175768	5	5	
-233.8	0.961610808	5	5	
-233.55	0.962472928	5	5	
-233.3	0.963749005	5	5	
-233.05	0.965349641	5	5	
-232.8	0.967150349	5	5	
-232.55	0.969012538	5	5	
-232.3	0.970786187	5	5	
-232.05	0.972311982	5	5	
-231.8	0.973438305	5	5	
-231.55	0.974053991	5	5	
-231.3	0.974123772	5	5	
-231.05	0.97370842	5	5	
-230.8	0.972956714	5	5	
-230.55	0.972067613	5	5	
-230.3	0.971233532	5	5	
-230.05	0.970584425	5	5	
-229.8	0.970153345	5	5	
-229.55	0.969876043	5	5	
-229.3	0.969623869	5	5	
-229.05	0.969258044	5	5	
-228.8	0.9686889	5	5	
-228.55	0.967924945	5	5	
-228.3	0.967098375	5	5	
-228.05	0.966454121	5	5	
-227.8	0.966293293	5	5	
-227.55	0.966875346	5	5	
-227.3	0.968305822	5	5	
-227.05	0.970456326	5	5	
-226.8	0.972963563	5	5	
-226.55	0.975326647	5	5	
-226.3	0.977075682	5	5	
-226.05	0.977944176	5	5	
-225.8	0.977967846	5	5	
-225.55	0.977462217	5	5	
-225.3	0.976887565	5	5	
-225.05	0.976663	5	5	
-224.8	0.977013536	5	5	
-224.55	0.977913609	5	5	
-224.3	0.979139966	5	5	
-224.05	0.980394324	5	5	
-223.8	0.981429567	5	5	
-223.55	0.982123953	5	5	
-223.3	0.9824848	5	5	
-223.05	0.982601556	5	5	
-222.8	0.98258569	5	5	
-222.55	0.982526415	5	5	
-222.3	0.982469992	5	5	
-222.05	0.982415386	5	5	
-221.8	0.98231969	5	5	
-221.55	0.98211602	5	5	
-221.3	0.981749617	5	5	
-221.05	0.981226696	5	5	
-220.8	0.980652794	5	5	
-220.55	0.980230442	5	5	
-220.3	0.98020169	5	5	
-220.05	0.9807534	5	5	
-219.8	0.981931194	5	5	
-219.55	0.983609675	5	5	
-219.3	0.985537321	5	5	
-219.05	0.98743151	5	5	
-218.8	0.989070982	5	5	
-218.55	0.990339436	5	5	
-218.3	0.991209989	5	5	
-218.05	0.991699573	5	5	
-217.8	0.991836226	5	5	
-217.55	0.991661914	5	5	
-217.3	0.991257428	5	5	
-217.05	0.990754451	5	5	
-216.8	0.990310503	5	5	
-216.55	0.99005529	5	5	
-216.3	0.990043413	5	5	
-216.05	0.990246151	5	5	
-215.8	0.990586355	5	5	
-215.55	0.990990124	5	5	
-215.3	0.991421363	5	5	
-215.05	0.991884229	5	5	
-214.8	0.992404567	5	5	
-214.55	0.993011112	5	5	
-214.3	0.993724742	5	5	
-214.05	0.9945461	5	5	
-213.8	0.995430901	5	5	
-213.55	0.996263521	5	5	
-213.3	0.996862691	5	5	
-213.05	0.997049314	5	5	
-212.8	0.996765373	5	5	
-212.55	0.996179071	5	5	
-212.3	0.995689766	5	5	
-212.05	0.995787552	5	5	
-211.8	0.996811989	5	5	
-211.55	0.998735515	5	5	
-211.3	1.00110796	5	5	
-211.05	1.003220274	5	5	
-210.8	1.004420764	5	5	
-210.55	1.004423803	5	5	
-210.3	1.003449089	5	5	
-210.05	1.002120499	5	5	
-209.8	1.00118108	5	5	
-209.55	1.001170742	5	5	
-209.3	1.002220411	5	5	
-209.05	1.004046518	5	5	
-208.8	1.006127801	5	5	
-208.55	1.007965388	5	5	
-208.3	1.009300544	5	5	
-208.05	1.010195705	5	5	
-207.8	1.010953285	5	5	
-207.55	1.01192166	5	5	
-207.3	1.013287783	5	5	
-207.05	1.014960191	5	5	
-206.8	1.016601626	5	5	
-206.55	1.017795377	5	5	
-206.3	1.018259623	5	5	
-206.05	1.017996757	5	5	
-205.8	1.017297842	5	5	
-205.55	1.016600643	5	5	
-205.3	1.016279533	5	5	
-205.05	1.016480668	5	5	
-204.8	1.017085681	5	5	
-204.55	1.017811756	5	5	
-204.3	1.018381947	5	5	
-204.05	1.018669883	5	5	
-203.8	1.018749498	5	5	
-203.55	1.018839897	5	5	
-203.3	1.019189142	5	5	
-203.05	1.019960685	5	5	
-202.8	1.021170405	5	5	
-202.55	1.022688926	5	5	
-202.3	1.024295046	5	5	
-202.05	1.025752628	5	5	
-201.8	1.026883336	5	5	
-201.55	1.027614076	5	5	
-201.3	1.027986801	5	5	
-201.05	1.028129661	5	5	
-200.8	1.028201842	5	5	
-200.55	1.028335068	5	5	
-200.3	1.028595768	5	5	
-200.05	1.028980663	5	5	
-199.8	1.029440674	5	5	
-199.55	1.029914468	5	5	
-199.3	1.030351794	5	5	
-199.05	1.030717857	5	5	
-198.8	1.030985137	5	5	
-198.55	1.031127803	5	5	
-198.3	1.031130413	5	5	
-198.05	1.031009347	5	5	
-197.8	1.03083154	5	5	
-197.55	1.030711156	5	5	
-197.3	1.030775535	5	5	
-197.05	1.031111399	5	5	
-196.8	1.031718108	5	5	
-196.55	1.032494982	5	5	
-196.3	1.033273001	5	5	
-196.05	1.033877812	5	5	
-195.8	1.034195484	5	5	
-195.55	1.034213215	5	5	
-195.3	1.03402177	5	5	
-195.05	1.033784389	5	5	
-194.8	1.033688621	5	5	
-194.55	1.033899023	5	5	
-194.3	1.0345225	5	5	
-194.05	1.035589603	5	5	
-193.8	1.037049106	5	5	
-193.55	1.038771938	5	5	
-193.3	1.040563188	5	5	
-193.05	1.042184425	5	5	
-192.8	1.04338947	5	5	
-192.55	1.04397321	5	5	
-192.3	1.043826262	5	5	
-192.05	1.042981358	5	5	
-191.8	1.041633413	5	5	
-191.55	1.040116801	5	5	
-191.3	1.038832527	5	5	
-191.05	1.038135577	5	5	
-190.8	1.038214997	5	5	
-190.55	1.039015326	5	5	
-190.3	1.040243488	5	5	
-190.05	1.041473598	5	5	
-189.8	1.042314183	5	5	
-189.55	1.042564971	5	5	
-189.3	1.042289524	5	5	
-189.05	1.041770918	5	5	
-188.8	1.041377673	5	5	
-188.55	1.041409922	5	5	
-188.3	1.041996567	5	5	
-188.05	1.04307688	5	5	
-187.8	1.044452784	5	5	
-187.55	1.045871057	5	5	
-187.3	1.04709833	5	5	
-187.05	1.047972865	5	5	
-186.8	1.048433387	5	5	
-186.55	1.048526055	5	5	
-186.3	1.048383671	5	5	
-186.05	1.048172679	5	5	
-185.8	1.048020031	5	5	
-185.55	1.047952377	5	5	
-185.3	1.047884405	5	5	
-185.05	1.047671049	5	5	
-184.8	1.047200513	5	5	
-184.55	1.046477063	5	5	
-184.3	1.045644961	5	5	
-184.05	1.044937905	5	5	
-183.8	1.044580583	5	5	
-183.55	1.044694329	5	5	
-183.3	1.045253479	5	5	
-183.05	1.046109173	5	5	
-182.8	1.047062244	5	5	
-182.55	1.04794536	5	5	
-182.3	1.048675791	5	5	
-182.05	1.049260231	5	5	
-181.8	1.049759568	5	5	
-181.55	1.050239823	5	5	
-181.3	1.050736657	5	5	
-181.05	1.051246541	5	5	
-180.8	1.051739161	5	5	
-180.55	1.052175799	5	5	
-180.3	1.052522087	5	5	
-180.05	1.05275403	5	5	
-179.8	1.052862268	5	5	
-179.55	1.052856352	5	5	
-179.3	1.052764274	5	5	
-179.05	1.052622536	5	5	
-178.8	1.052461118	5	5	
-178.55	1.052296823	5	5	
-178.3	1.052145799	5	5	
-178.05	1.052049803	5	5	
-177.8	1.052093206	5	5	
-177.55	1.052385894	5	5	
-177.3	1.053007143	5	5	
-177.05	1.053936072	5	5	
-176.8	1.055013341	5	5	
-176.55	1.055970259	5	5	
-176.3	1.05652667	5	5	
-176.05	1.056517329	5	5	
-175.8	1.055983328	5	5	
-175.55	1.055176286	5	5	
-175.3	1.054464659	5	5	
-175.05	1.054181494	5	5	
-174.8	1.054483705	5	5	
-174.55	1.055287524	5	5	
-174.3	1.056306651	5	5	
-174.05	1.057170449	5	5	
-173.8	1.057565261	5	5	
-173.55	1.057338526	5	5	
-173.3	1.056530458	5	5	
-173.05	1.055335015	5	5	
-172.8	1.054020254	5	5	
-172.55	1.052845953	5	5	
-172.3	1.052004859	5	5	
-172.05	1.051594877	5	5	
-171.8	1.051616061	5	5	
-171.55	1.05198389	5	5	
-171.3	1.052554702	5	5	
-171.05	1.053161796	5	5	
-170.8	1.053656956	5	5	
-170.55	1.053945686	5	5	
-170.3	1.054003127	5	5	
-170.05	1.053865447	5	5	
-169.8	1.053604148	5	5	
-169.55	1.053298603	5	5	
