CA	pMess	dummy	dummy
[KWnZOT]	[bar]	[bar]	[bar]
-290.05	1.086174187	5	5
-289.8	1.085578177	5	5
-289.55	1.084554129	5	5
-289.3	1.083228113	5	5
-289.05	1.081766586	5	5
-288.8	1.080338016	5	5
-288.55	1.079079654	5	5
-288.3	1.078077981	5	5
-288.05	1.077365475	5	5
-287.8	1.07693016	5	5
-287.55	1.076730775	5	5
-287.3	1.076710725	5	5
-287.05	1.076807282	5	5
-286.8	1.076956603	5	5
-286.55	1.077097611	5	5
-286.3	1.077177507	5	5
-286.05	1.077159309	5	5
-285.8	1.077029068	5	5
-285.55	1.076799012	5	5
-285.3	1.076503695	5	5
-285.05	1.076188829	5	5
-284.8	1.07589557	5	5
-284.55	1.075645259	5	5
-284.3	1.075429948	5	5
-284.05	1.075212363	5	5
-283.8	1.074935882	5	5
-283.55	1.074541654	5	5
-283.3	1.073987512	5	5
-283.05	1.073262601	5	5
-282.8	1.072393083	5	5
-282.55	1.071437266	5	5
-282.3	1.070471999	5	5
-282.05	1.069574828	5	5
-281.8	1.068807305	5	5
-281.55	1.068203841	5	5
-281.3	1.067768177	5	5
-281.05	1.067477034	5	5
-280.8	1.067288716	5	5
-280.55	1.067153846	5	5
-280.3	1.067025838	5	5
-280.05	1.066869623	5	5
-279.8	1.066667909	5	5
-279.55	1.066424697	5	5
-279.3	1.066165773	5	5
-279.05	1.065935868	5	5
-278.8	1.065792289	5	5
-278.55	1.065795274	5	5
-278.3	1.06599612	5	5
-278.05	1.066424959	5	5
-277.8	1.067080827	5	5
-277.55	1.067926758	5	5
-277.3	1.068892037	5	5
-277.05	1.069882218	5	5
-276.8	1.070795478	5	5
-276.55	1.071541861	5	5
-276.3	1.072060783	5	5
-276.05	1.072332275	5	5
-275.8	1.072379067	5	5
-275.55	1.072259131	5	5
-275.3	1.072050942	5	5
-275.05	1.071835525	5	5
-274.8	1.071679717	5	5
-274.55	1.071624116	5	5
-274.3	1.071677472	5	5
