Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
84.4	 218.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 219.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 220.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 221.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 222.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 223.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 224.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 225.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 226.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 227.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 228.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 229.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 230.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 231.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 232.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 233.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 234.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 235.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 236.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 237.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 238.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 239.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 240.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 241.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 242.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 243.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 244.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 245.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 246.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 247.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 248.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 249.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 250.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 251.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 252.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 253.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 254.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 255.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 256.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 257.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 258.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 259.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 260.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 261.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 262.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 263.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 264.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 265.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 266.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 267.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 268.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 269.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 270.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 271.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 272.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 273.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 274.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 275.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 276.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 277.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 278.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 279.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 280.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 281.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 282.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 283.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 284.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 285.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 286.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 287.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 288.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 289.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 290.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 291.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 292.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
