vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-286.4	2.1162	2.0642	2.4527
-286.2	2.1162	2.0653	2.4519
-286	2.1165	2.0663	2.4514
-285.8	2.1158	2.0673	2.4509
-285.6	2.1138	2.0682	2.4506
-285.4	2.1138	2.0692	2.4505
-285.2	2.1138	2.0701	2.4504
-285	2.1132	2.071	2.4503
-284.8	2.1137	2.0719	2.4503
-284.6	2.1153	2.0728	2.4503
-284.4	2.1157	2.0737	2.4502
-284.2	2.1145	2.0744	2.4501
-284	2.1153	2.0752	2.4501
-283.8	2.117	2.0761	2.4502
-283.6	2.1164	2.0768	2.4502
-283.4	2.1162	2.0776	2.4503
-283.2	2.1178	2.0783	2.4507
-283	2.1197	2.0791	2.4512
-282.8	2.1201	2.0798	2.4517
-282.6	2.1211	2.0805	2.4524
-282.4	2.1223	2.0811	2.4532
-282.2	2.1234	2.0817	2.454
-282	2.1243	2.0823	2.4549
-281.8	2.1253	2.0827	2.4559
-281.6	2.1273	2.0831	2.4568
-281.4	2.1298	2.0835	2.4577
-281.2	2.1308	2.0838	2.4584
-281	2.1317	2.084	2.4591
-280.8	2.1338	2.0842	2.4597
-280.6	2.136	2.0844	2.4603
-280.4	2.1377	2.0845	2.4609
-280.2	2.1406	2.0845	2.4614
-280	2.144	2.0845	2.4619
-279.8	2.1466	2.0844	2.4624
-279.6	2.1483	2.0842	2.4628
-279.4	2.1507	2.0841	2.4633
-279.2	2.1527	2.0839	2.4638
-279	2.1542	2.0835	2.4642
-278.8	2.1559	2.0832	2.4644
-278.6	2.1577	2.0828	2.4645
-278.4	2.1591	2.0823	2.4644
-278.2	2.1608	2.0817	2.4641
-278	2.1628	2.0811	2.4636
-277.8	2.1632	2.0804	2.4629
-277.6	2.1636	2.0795	2.462
-277.4	2.1651	2.0787	2.461
-277.2	2.1657	2.0778	2.4598
-277	2.1651	2.0768	2.4584
-276.8	2.1653	2.0757	2.4569
-276.6	2.1659	2.0747	2.4554
-276.4	2.1648	2.0735	2.4536
-276.2	2.1632	2.0723	2.4517
-276	2.164	2.0711	2.4499
-275.8	2.165	2.07	2.448
-275.6	2.1633	2.0688	2.4459
-275.4	2.1621	2.0675	2.4438
-275.2	2.1618	2.0664	2.4416
-275	2.161	2.0653	2.4392
-274.8	2.1592	2.0641	2.4367
-274.6	2.1582	2.063	2.4342
-274.4	2.1572	2.0619	2.4316
-274.2	2.1563	2.0608	2.4289
-274	2.1549	2.0597	2.4261
-273.8	2.1537	2.0586	2.4233
-273.6	2.1525	2.0576	2.4204
-273.4	2.1509	2.0565	2.4174
-273.2	2.1494	2.0556	2.4145
-273	2.1497	2.0547	2.4117
-272.8	2.15	2.0539	2.4088
-272.6	2.1493	2.053	2.406
-272.4	2.1499	2.0523	2.4032
-272.2	2.1514	2.0516	2.4005
-272	2.1504	2.0509	2.3977
-271.8	2.149	2.0502	2.3949
-271.6	2.1495	2.0496	2.3922
-271.4	2.1503	2.0491	2.3896
-271.2	2.1497	2.0487	2.3869
-271	2.1501	2.0483	2.3843
-270.8	2.1514	2.0481	2.3818
-270.6	2.1516	2.0478	2.3793
-270.4	2.151	2.0475	2.3769
-270.2	2.1518	2.0473	2.3746
-270	2.1532	2.0471	2.3725
-269.8	2.1532	2.0469	2.3703
-269.6	2.1529	2.0466	2.3682
-269.4	2.1533	2.0465	2.3662
-269.2	2.1531	2.0464	2.3642
-269	2.1522	2.0462	2.3623
-268.8	2.1525	2.0461	2.3605
-268.6	2.1521	2.0461	2.3587
-268.4	2.151	2.046	2.3568
-268.2	2.1507	2.0459	2.355
-268	2.1509	2.0459	2.3532
-267.8	2.1504	2.0459	2.3513
-267.6	2.1484	2.0458	2.3493
-267.4	2.1474	2.0457	2.3473
-267.2	2.1475	2.0457	2.3453
-267	2.1465	2.0458	2.3432
-266.8	2.1448	2.0457	2.341
-266.6	2.1436	2.0458	2.3388
-266.4	2.1427	2.0458	2.3366
-266.2	2.1409	2.0457	2.3343
-266	2.139	2.0457	2.3321
-265.8	2.138	2.0457	2.3297
-265.6	2.1362	2.0457	2.3273
-265.4	2.1343	2.0457	2.3249
-265.2	2.1332	2.0457	2.3226
-265	2.1329	2.0457	2.3202
-264.8	2.131	2.0457	2.3179
-264.6	2.1291	2.0457	2.3156
-264.4	2.1283	2.0457	2.3133
-264.2	2.1269	2.0457	2.311
-264	2.1243	2.0457	2.3088
-263.8	2.1227	2.0456	2.3065
-263.6	2.1221	2.0456	2.3044
-263.4	2.121	2.0457	2.3022
-263.2	2.1198	2.0457	2.3
-263	2.1194	2.0457	2.2978
-262.8	2.1188	2.0458	2.2955
-262.6	2.1178	2.0458	2.2932
-262.4	2.1169	2.0458	2.291
-262.2	2.1165	2.0458	2.2887
-262	2.1156	2.0458	2.2864
-261.8	2.1149	2.0458	2.2841
-261.6	2.1146	2.0458	2.2819
-261.4	2.1143	2.0458	2.2796
-261.2	2.1134	2.0458	2.2773
-261	2.113	2.0458	2.275
-260.8	2.1138	2.0458	2.2728
-260.6	2.1142	2.0458	2.2705
-260.4	2.1136	2.0457	2.2682
-260.2	2.1129	2.0455	2.2659
-260	2.1136	2.0454	2.2637
-259.8	2.1154	2.0454	2.2615
-259.6	2.1158	2.0452	2.2593
-259.4	2.1152	2.0449	2.2571
-259.2	2.1164	2.0448	2.255
-259	2.1175	2.0446	2.253
-258.8	2.118	2.0443	2.2509
-258.6	2.1184	2.0441	2.249
-258.4	2.1183	2.0438	2.2471
-258.2	2.1182	2.0434	2.2454
-258	2.1185	2.0431	2.2437
-257.8	2.1182	2.0427	2.2422
-257.6	2.1178	2.0422	2.2408
-257.4	2.118	2.0417	2.2395
-257.2	2.1181	2.0412	2.2384
-257	2.117	2.0406	2.2374
-256.8	2.1164	2.04	2.2365
-256.6	2.117	2.0394	2.2357
-256.4	2.1163	2.0387	2.235
-256.2	2.1148	2.0378	2.2344
-256	2.1143	2.037	2.234
-255.8	2.1136	2.0362	2.2336
-255.6	2.1119	2.0352	2.2334
-255.4	2.1116	2.0343	2.2332
-255.2	2.1112	2.0334	2.2332
-255	2.1098	2.0324	2.2332
-254.8	2.1092	2.0314	2.2334
-254.6	2.1089	2.0304	2.2336
-254.4	2.1073	2.0293	2.2339
-254.2	2.1067	2.0282	2.2343
-254	2.1076	2.0272	2.2348
-253.8	2.1075	2.0261	2.2352
-253.6	2.1071	2.025	2.2357
-253.4	2.1072	2.0239	2.2362
-253.2	2.1073	2.0229	2.2368
-253	2.1076	2.0218	2.2373
-252.8	2.1079	2.0208	2.2379
-252.6	2.1076	2.0197	2.2384
-252.4	2.1072	2.0186	2.239
-252.2	2.1083	2.0176	2.2397
-252	2.1102	2.0167	2.2404
-251.8	2.111	2.0156	2.2411
-251.6	2.1102	2.0146	2.2417
-251.4	2.1102	2.0137	2.2424
-251.2	2.112	2.0129	2.2432
-251	2.1131	2.0121	2.2439
-250.8	2.1128	2.0113	2.2445
-250.6	2.112	2.0106	2.245
-250.4	2.1121	2.0099	2.2454
-250.2	2.1139	2.0094	2.2458
-250	2.1142	2.0089	2.2459
-249.8	2.1138	2.0085	2.2459
-249.6	2.115	2.0081	2.2457
-249.4	2.1163	2.0079	2.2454
-249.2	2.1162	2.0076	2.2448
-249	2.1159	2.0074	2.2441
-248.8	2.1179	2.0074	2.2434
-248.6	2.1187	2.0074	2.2425
-248.4	2.1177	2.0074	2.2414
