vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-322.4	2.3074	2.2301	2.763
-322.3	2.3081	2.2307	2.7638
-322.2	2.3092	2.2313	2.7646
-322.1	2.3105	2.2319	2.7655
-322	2.3119	2.2325	2.7663
-321.9	2.313	2.233	2.7671
-321.8	2.3139	2.2336	2.768
-321.7	2.3146	2.2341	2.7688
-321.6	2.3153	2.2347	2.7697
-321.5	2.3161	2.2352	2.7705
-321.4	2.3172	2.2357	2.7713
-321.3	2.3186	2.2361	2.7722
-321.2	2.3198	2.2366	2.773
-321.1	2.321	2.2371	2.7739
-321	2.3219	2.2375	2.7748
-320.9	2.3227	2.2379	2.7757
-320.8	2.3234	2.2383	2.7766
-320.7	2.3242	2.2387	2.7776
-320.6	2.3254	2.2391	2.7787
-320.5	2.3265	2.2394	2.7799
-320.4	2.3272	2.2398	2.781
-320.3	2.3283	2.2402	2.7822
-320.2	2.3296	2.2405	2.7834
-320.1	2.3305	2.2409	2.7846
-320	2.3309	2.2412	2.7858
-319.9	2.3316	2.2415	2.7871
-319.8	2.3332	2.2418	2.7884
-319.7	2.3351	2.242	2.7896
-319.6	2.3366	2.2423	2.7909
-319.5	2.337	2.2425	2.7923
-319.4	2.3377	2.2427	2.7934
-319.3	2.3388	2.243	2.7946
-319.2	2.3399	2.2432	2.7958
-319.1	2.3407	2.2434	2.797
-319	2.3418	2.2437	2.798
-318.9	2.3429	2.244	2.799
-318.8	2.3439	2.2442	2.7998
-318.7	2.3448	2.2446	2.8006
-318.6	2.3458	2.2449	2.8013
-318.5	2.3465	2.2452	2.8019
-318.4	2.347	2.2455	2.8025
-318.3	2.3476	2.2459	2.8029
-318.2	2.3485	2.2462	2.8032
-318.1	2.3496	2.2465	2.8036
-318	2.3508	2.2469	2.8038
-317.9	2.3513	2.2472	2.8039
-317.8	2.3517	2.2475	2.8041
-317.7	2.3522	2.2478	2.8042
-317.6	2.3529	2.2481	2.8042
-317.5	2.3538	2.2484	2.8043
-317.4	2.3548	2.2487	2.8044
-317.3	2.3556	2.249	2.8046
-317.2	2.3562	2.2493	2.8048
-317.1	2.3566	2.2496	2.8051
-317	2.3571	2.25	2.8054
-316.9	2.3576	2.2503	2.8059
-316.8	2.3581	2.2507	2.8064
-316.7	2.3584	2.251	2.8071
-316.6	2.3588	2.2514	2.8078
-316.5	2.3592	2.2517	2.8085
-316.4	2.3596	2.252	2.8093
-316.3	2.36	2.2524	2.8101
-316.2	2.3603	2.2527	2.811
-316.1	2.3606	2.2531	2.8119
-316	2.3612	2.2534	2.8129
-315.9	2.3619	2.2538	2.8139
-315.8	2.3624	2.2542	2.8149
-315.7	2.3627	2.2545	2.8159
-315.6	2.3629	2.2549	2.817
-315.5	2.3632	2.2553	2.8179
-315.4	2.3636	2.2556	2.8188
-315.3	2.3642	2.256	2.8197
-315.2	2.3646	2.2564	2.8205
-315.1	2.3647	2.2568	2.8212
-315	2.3651	2.2573	2.8219
-314.9	2.3653	2.2577	2.8224
-314.8	2.3656	2.2581	2.8229
-314.7	2.3658	2.2586	2.8233
-314.6	2.366	2.259	2.8237
-314.5	2.3661	2.2594	2.824
-314.4	2.3662	2.2599	2.8243
-314.3	2.3662	2.2603	2.8245
-314.2	2.366	2.2608	2.8246
-314.1	2.3659	2.2612	2.8248
-314	2.3658	2.2616	2.8248
-313.9	2.3657	2.262	2.8249
-313.8	2.3658	2.2625	2.8251
-313.7	2.3659	2.2629	2.8252
-313.6	2.3659	2.2633	2.8252
-313.5	2.3659	2.2638	2.8253
-313.4	2.3658	2.2642	2.8254
-313.3	2.3656	2.2647	2.8255
-313.2	2.3654	2.2652	2.8256
-313.1	2.3653	2.2656	2.8256
-313	2.3652	2.2661	2.8256
-312.9	2.3651	2.2665	2.8256
-312.8	2.3649	2.267	2.8254
-312.7	2.3646	2.2675	2.8254
-312.6	2.3644	2.2679	2.8252
-312.5	2.3642	2.2684	2.8251
-312.4	2.3641	2.2689	2.8249
-312.3	2.3641	2.2695	2.8247
-312.2	2.3639	2.27	2.8245
-312.1	2.3638	2.2705	2.8242
-312	2.3637	2.271	2.8238
-311.9	2.3635	2.2715	2.8233
-311.8	2.3633	2.272	2.8228
-311.7	2.3631	2.2725	2.8222
-311.6	2.363	2.2729	2.8216
-311.5	2.3629	2.2734	2.821
-311.4	2.3628	2.2738	2.8202
-311.3	2.3628	2.2743	2.8196
-311.2	2.3626	2.2747	2.8189
-311.1	2.3625	2.2751	2.8182
-311	2.3624	2.2756	2.8175
-310.9	2.3623	2.276	2.8169
-310.8	2.3621	2.2764	2.8163
-310.7	2.3619	2.2768	2.8158
-310.6	2.3618	2.2772	2.8152
-310.5	2.3615	2.2776	2.8146
-310.4	2.3613	2.278	2.8141
-310.3	2.3609	2.2784	2.8137
-310.2	2.3605	2.2788	2.8133
-310.1	2.3603	2.2791	2.8129
-310	2.3599	2.2795	2.8125
-309.9	2.3597	2.2798	2.8122
-309.8	2.3595	2.2801	2.8119
-309.7	2.3593	2.2804	2.8115
-309.6	2.3589	2.2807	2.8111
-309.5	2.3586	2.281	2.8107
-309.4	2.3582	2.2813	2.8103
-309.3	2.3578	2.2816	2.8098
-309.2	2.3575	2.2818	2.8092
-309.1	2.3571	2.2821	2.8086
-309	2.3569	2.2823	2.808
-308.9	2.3566	2.2826	2.8073
-308.8	2.3563	2.2828	2.8065
-308.7	2.356	2.283	2.8057
-308.6	2.3557	2.2832	2.8048
-308.5	2.3554	2.2835	2.804
-308.4	2.3552	2.2836	2.803
-308.3	2.3549	2.2838	2.802
-308.2	2.3546	2.2839	2.801
-308.1	2.3544	2.284	2.7999
-308	2.3541	2.2841	2.7987
-307.9	2.3539	2.2841	2.7976
-307.8	2.3536	2.2841	2.7965
-307.7	2.3534	2.2841	2.7954
-307.6	2.3533	2.2841	2.7944
-307.5	2.3532	2.284	2.7934
-307.4	2.353	2.2839	2.7924
-307.3	2.3528	2.2838	2.7915
-307.2	2.3528	2.2837	2.7906
-307.1	2.3528	2.2835	2.7898
-307	2.3526	2.2834	2.789
-306.9	2.3525	2.2832	2.7883
-306.8	2.3524	2.2829	2.7876
-306.7	2.3523	2.2827	2.787
-306.6	2.3522	2.2824	2.7863
-306.5	2.3519	2.2822	2.7858
-306.4	2.3518	2.2818	2.7852
-306.3	2.3517	2.2815	2.7847
-306.2	2.3516	2.2812	2.7842
-306.1	2.3514	2.2808	2.7836
-306	2.3513	2.2805	2.7831
-305.9	2.3512	2.2801	2.7824
-305.8	2.351	2.2797	2.7818
-305.7	2.3508	2.2793	2.7811
-305.6	2.3506	2.2789	2.7805
-305.5	2.3503	2.2785	2.7797
-305.4	2.3501	2.2781	2.779
-305.3	2.3499	2.2777	2.7782
-305.2	2.3497	2.2773	2.7774
-305.1	2.3495	2.2768	2.7765
-305	2.3494	2.2763	2.7756
-304.9	2.3492	2.2759	2.7748
-304.8	2.349	2.2754	2.7738
-304.7	2.3488	2.2749	2.7728
-304.6	2.3486	2.2744	2.7718
-304.5	2.3483	2.2739	2.7708
-304.4	2.3481	2.2733	2.7698
-304.3	2.3479	2.2728	2.7687
-304.2	2.3477	2.2722	2.7677
-304.1	2.3474	2.2717	2.7666
-304	2.3473	2.2711	2.7655
-303.9	2.347	2.2705	2.7644
-303.8	2.3467	2.2699	2.7634
-303.7	2.3465	2.2692	2.7624
-303.6	2.3463	2.2686	2.7614
-303.5	2.3462	2.2679	2.7604
-303.4	2.3459	2.2672	2.7594
-303.3	2.3458	2.2666	2.7585
-303.2	2.3456	2.2659	2.7575
-303.1	2.3454	2.2651	2.7565
-303	2.3451	2.2645	2.7556
-302.9	2.3448	2.2637	2.7547
-302.8	2.3445	2.2631	2.7539
-302.7	2.3444	2.2623	2.753
-302.6	2.3442	2.2616	2.7522
-302.5	2.3438	2.2609	2.7514
-302.4	2.3437	2.2602	2.7506
-302.3	2.3434	2.2595	2.7499
-302.2	2.3431	2.2588	2.7492
-302.1	2.3428	2.258	2.7486
-302	2.3425	2.2573	2.748
-301.9	2.3421	2.2566	2.7475
-301.8	2.3417	2.2558	2.7471
-301.7	2.3414	2.2551	2.7466
-301.6	2.341	2.2543	2.7463
-301.5	2.3407	2.2536	2.7461
-301.4	2.3403	2.2528	2.7458
-301.3	2.34	2.2521	2.7457
-301.2	2.3396	2.2513	2.7456
-301.1	2.3393	2.2506	2.7455
-301	2.3388	2.2498	2.7455
-300.9	2.3383	2.2491	2.7455
-300.8	2.3379	2.2484	2.7454
