vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-307.4	2.3301	2.277	2.7872
-307.3	2.33	2.277	2.7859
-307.2	2.3297	2.2769	2.7846
-307.1	2.3295	2.2768	2.7832
-307	2.3293	2.2767	2.7818
-306.9	2.3292	2.2765	2.7803
-306.8	2.3292	2.2762	2.7788
-306.7	2.3291	2.276	2.7773
-306.6	2.329	2.2757	2.7759
-306.5	2.3289	2.2754	2.7745
-306.4	2.3287	2.2751	2.773
-306.3	2.3285	2.2748	2.7716
-306.2	2.3284	2.2744	2.7702
-306.1	2.3284	2.274	2.7688
-306	2.3283	2.2736	2.7675
-305.9	2.328	2.2733	2.7662
-305.8	2.3278	2.2729	2.7649
-305.7	2.3277	2.2725	2.7638
-305.6	2.3275	2.2721	2.7627
-305.5	2.3273	2.2717	2.7615
-305.4	2.3272	2.2713	2.7605
-305.3	2.3269	2.2708	2.7595
-305.2	2.3267	2.2703	2.7586
-305.1	2.3265	2.2698	2.7577
-305	2.3263	2.2693	2.7568
-304.9	2.326	2.2688	2.756
-304.8	2.3258	2.2682	2.7551
-304.7	2.3256	2.2677	2.7543
-304.6	2.3254	2.2671	2.7535
-304.5	2.3252	2.2666	2.7528
-304.4	2.325	2.2661	2.752
-304.3	2.3246	2.2655	2.7513
-304.2	2.3245	2.265	2.7506
-304.1	2.3244	2.2645	2.7498
-304	2.3243	2.264	2.7491
-303.9	2.3241	2.2634	2.7483
-303.8	2.3241	2.2628	2.7476
-303.7	2.324	2.2623	2.7469
-303.6	2.3238	2.2617	2.7462
-303.5	2.3236	2.261	2.7455
-303.4	2.3234	2.2604	2.7449
-303.3	2.3232	2.2597	2.7442
-303.2	2.323	2.2591	2.7436
-303.1	2.3229	2.2584	2.743
-303	2.3228	2.2577	2.7425
-302.9	2.3226	2.257	2.7419
-302.8	2.3224	2.2562	2.7413
-302.7	2.3222	2.2555	2.7408
-302.6	2.322	2.2549	2.7404
-302.5	2.3218	2.2541	2.7399
-302.4	2.3216	2.2534	2.7395
-302.3	2.3214	2.2527	2.7391
-302.2	2.3213	2.252	2.7388
-302.1	2.321	2.2513	2.7385
-302	2.3207	2.2506	2.7383
-301.9	2.3204	2.2499	2.7381
-301.8	2.32	2.2491	2.738
-301.7	2.3197	2.2484	2.7379
-301.6	2.3193	2.2477	2.7378
-301.5	2.3188	2.2469	2.7378
-301.4	2.3183	2.2462	2.738
-301.3	2.3178	2.2454	2.738
-301.2	2.3174	2.2447	2.7382
-301.1	2.317	2.2439	2.7384
-301	2.3165	2.2432	2.7387
-300.9	2.3161	2.2425	2.739
-300.8	2.3157	2.2419	2.7394
-300.7	2.3152	2.2412	2.7398
-300.6	2.3147	2.2406	2.7403
-300.5	2.3143	2.2399	2.7408
-300.4	2.3139	2.2393	2.7413
-300.3	2.3134	2.2386	2.7418
-300.2	2.3132	2.2379	2.7424
-300.1	2.3127	2.2372	2.7429
-300	2.3123	2.2365	2.7435
-299.9	2.3119	2.2359	2.7441
-299.8	2.3114	2.2352	2.7447
-299.7	2.3109	2.2345	2.7453
-299.6	2.3103	2.2338	2.7458
-299.5	2.3099	2.2332	2.7465
-299.4	2.3093	2.2326	2.747
-299.3	2.3089	2.232	2.7476
-299.2	2.3084	2.2314	2.7481
-299.1	2.3077	2.2308	2.7485
-299	2.3071	2.2302	2.7489
-298.9	2.3065	2.2297	2.7493
-298.8	2.306	2.2291	2.7497
-298.7	2.3055	2.2285	2.7501
-298.6	2.3049	2.2279	2.7504
-298.5	2.3044	2.2273	2.7508
-298.4	2.3038	2.2267	2.7511
-298.3	2.3031	2.2262	2.7515
-298.2	2.3025	2.2256	2.7519
-298.1	2.3018	2.225	2.7522
-298	2.3012	2.2244	2.7526
-297.9	2.3006	2.2238	2.753
-297.8	2.2999	2.2233	2.7534
-297.7	2.2992	2.2228	2.7538
-297.6	2.2985	2.2223	2.7543
-297.5	2.2978	2.2218	2.7548
-297.4	2.2971	2.2213	2.7554
-297.3	2.2965	2.2209	2.7559
-297.2	2.2958	2.2204	2.7566
-297.1	2.2951	2.2199	2.7572
-297	2.2944	2.2195	2.7579
-296.9	2.2937	2.219	2.7586
-296.8	2.2931	2.2185	2.7594
-296.7	2.2924	2.218	2.7602
-296.6	2.2917	2.2175	2.761
-296.5	2.291	2.217	2.7618
-296.4	2.2904	2.2166	2.7627
-296.3	2.2895	2.2161	2.7636
-296.2	2.2889	2.2157	2.7645
-296.1	2.288	2.2152	2.7655
-296	2.2872	2.2149	2.7665
-295.9	2.2863	2.2145	2.7675
-295.8	2.2856	2.2141	2.7685
-295.7	2.2848	2.2137	2.7696
-295.6	2.284	2.2133	2.7706
-295.5	2.2832	2.213	2.7717
-295.4	2.2824	2.2126	2.7728
-295.3	2.2816	2.2122	2.7738
-295.2	2.2808	2.2119	2.7749
-295.1	2.28	2.2115	2.776
-295	2.2793	2.2111	2.7771
-294.9	2.2786	2.2107	2.7783
-294.8	2.2779	2.2103	2.7794
-294.7	2.2772	2.2099	2.7806
-294.6	2.2764	2.2095	2.7818
-294.5	2.2756	2.2091	2.7831
-294.4	2.2749	2.2087	2.7843
-294.3	2.2741	2.2084	2.7855
-294.2	2.2734	2.208	2.7867
-294.1	2.2727	2.2076	2.788
-294	2.2719	2.2072	2.7892
-293.9	2.2713	2.2069	2.7903
-293.8	2.2704	2.2065	2.7914
-293.7	2.2696	2.2061	2.7925
-293.6	2.2689	2.2057	2.7935
-293.5	2.2681	2.2053	2.7945
-293.4	2.2674	2.2049	2.7955
-293.3	2.2666	2.2045	2.7964
-293.2	2.2659	2.2041	2.7973
-293.1	2.2651	2.2036	2.7982
-293	2.2644	2.2032	2.7989
-292.9	2.2637	2.2027	2.7997
-292.8	2.2629	2.2022	2.8004
-292.7	2.2623	2.2018	2.801
-292.6	2.2616	2.2013	2.8017
-292.5	2.2609	2.2009	2.8023
-292.4	2.2601	2.2005	2.8028
-292.3	2.2593	2.2001	2.8034
-292.2	2.2586	2.1996	2.8039
-292.1	2.2579	2.1992	2.8044
-292	2.2572	2.1988	2.8049
-291.9	2.2565	2.1983	2.8054
-291.8	2.2559	2.1979	2.8059
-291.7	2.2552	2.1975	2.8065
-291.6	2.2545	2.197	2.8071
-291.5	2.2538	2.1965	2.8077
-291.4	2.2532	2.196	2.8083
-291.3	2.2526	2.1956	2.8089
-291.2	2.2519	2.1951	2.8097
-291.1	2.2513	2.1946	2.8104
-291	2.2505	2.1942	2.8112
-290.9	2.2498	2.1938	2.8121
-290.8	2.2491	2.1933	2.8129
-290.7	2.2483	2.1928	2.8137
-290.6	2.2475	2.1923	2.8145
-290.5	2.2467	2.1918	2.8154
-290.4	2.246	2.1913	2.8161
-290.3	2.2452	2.1909	2.8169
-290.2	2.2445	2.1904	2.8176
-290.1	2.2437	2.1899	2.8183
-290	2.243	2.1894	2.8189
-289.9	2.2424	2.1889	2.8194
-289.8	2.2416	2.1884	2.8199
-289.7	2.241	2.1879	2.8203
-289.6	2.2403	2.1874	2.8207
-289.5	2.2396	2.1869	2.8211
-289.4	2.2388	2.1864	2.8213
