vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-318.9	2.2543	2.2261	0.98977
-318.8	2.2559	2.2265	0.98975
-318.7	2.2577	2.2268	0.98978
-318.6	2.2594	2.2272	0.98975
-318.5	2.2606	2.2275	0.98973
-318.4	2.2615	2.2279	0.98974
-318.3	2.2623	2.2282	0.98974
-318.2	2.2633	2.2286	0.98974
-318.1	2.2644	2.2289	0.98971
-318	2.2655	2.2292	0.98972
-317.9	2.2666	2.2295	0.9897
-317.8	2.2674	2.2298	0.9897
-317.7	2.2681	2.2301	0.9897
-317.6	2.2688	2.2303	0.98966
-317.5	2.2695	2.2306	0.98961
-317.4	2.2701	2.2308	0.98961
-317.3	2.2709	2.231	0.9896
-317.2	2.2719	2.2313	0.98956
-317.1	2.2729	2.2315	0.98951
-317	2.2738	2.2318	0.98953
-316.9	2.2745	2.232	0.9895
-316.8	2.2753	2.2323	0.98947
-316.7	2.2757	2.2326	0.98946
-316.6	2.2761	2.2329	0.98947
-316.5	2.2765	2.2332	0.98943
-316.4	2.277	2.2335	0.98942
-316.3	2.2778	2.2337	0.98944
-316.2	2.2785	2.234	0.98941
-316.1	2.2792	2.2343	0.98942
-316	2.2799	2.2346	0.98943
-315.9	2.2805	2.2349	0.98944
-315.8	2.281	2.2352	0.98948
-315.7	2.2814	2.2355	0.98945
-315.6	2.2819	2.2358	0.98945
-315.5	2.2824	2.2362	0.98945
-315.4	2.2829	2.2365	0.98941
-315.3	2.2834	2.2368	0.98941
-315.2	2.284	2.2372	0.98944
-315.1	2.2844	2.2376	0.98945
-315	2.2848	2.238	0.98949
-314.9	2.2852	2.2384	0.98953
-314.8	2.2855	2.2389	0.98953
-314.7	2.2859	2.2393	0.98952
-314.6	2.2863	2.2397	0.98951
-314.5	2.2865	2.2401	0.98952
-314.4	2.2867	2.2405	0.98952
-314.3	2.287	2.2409	0.98951
-314.2	2.2872	2.2413	0.98952
-314.1	2.2874	2.2417	0.98953
-314	2.2875	2.2421	0.98956
-313.9	2.2877	2.2425	0.98956
-313.8	2.2877	2.2428	0.98959
