Kurbelwinkel	p_Zyl_1	p_ein_1	p_aus_1	ZZP_1	ti_1	Inj_1	Optiktrigger_1
[KWnZOT]	[bar]	[bar]	[bar]	[V]	[V]	[V]	[V]
-10,200000	9,531850	0,410792	0,942593	0,018312	9,991454	10,370506	-0,011353
-10,100000	9,562369	0,410792	0,942593	0,020753	9,991454	10,358297	-0,011353
-10,000000	9,592889	0,410792	0,942593	0,020753	9,991454	10,370506	-0,011353
-9,900000	9,617305	0,410792	0,942440	0,018312	9,991454	10,358297	-0,011353
-9,800000	9,647823	0,410914	0,942593	0,020753	9,991454	10,358297	-0,011353
-9,700000	9,678344	0,410914	0,942593	0,018312	9,991454	10,358297	-0,011353
-9,600000	9,708862	0,410914	0,942440	0,018312	9,991454	10,346090	-0,011353
-9,500000	9,739382	0,410914	0,942440	0,020753	9,991454	10,346090	-0,011353
-9,400000	9,769902	0,410914	0,942593	0,020753	9,991454	10,346090	-0,011353
-9,300000	9,800421	0,410914	0,942593	0,020753	9,991454	10,333882	-0,011353
-9,200000	9,830941	0,410914	0,942593	0,020753	9,991454	10,333882	-0,011353
-9,100000	9,861460	0,411036	0,942593	0,018312	9,991454	10,333882	-0,011353
-9,000000	9,891979	0,411036	0,942593	0,018312	9,991454	10,333882	-0,011353
-8,900000	9,928603	0,411036	0,942593	0,018312	9,991454	10,321674	-0,011353
-8,800000	9,959122	0,411158	0,942593	0,018312	9,991454	10,321674	-0,011353
-8,700000	9,995746	0,411158	0,942593	0,018312	9,991454	10,309467	-0,011353
-8,600000	10,026265	0,411280	0,942746	0,018312	9,991454	10,309467	-0,011353
-8,500000	10,062888	0,411280	0,942746	0,018312	9,991454	10,309467	-0,011353
-8,400000	10,093408	0,411402	0,942898	0,018312	9,991454	10,309467	-0,011353
-8,300000	10,130031	0,411402	0,942898	0,020753	9,991454	10,321674	-0,011353
-8,200000	10,166655	0,411524	0,943051	0,018312	9,991454	10,309467	-0,011353
-8,100000	10,197173	0,411524	0,943203	0,018312	9,991454	10,321674	-0,011353
-8,000000	10,233796	0,411646	0,943203	0,018312	9,991454	10,333882	-0,011353
-7,900000	10,270420	0,411646	0,943203	0,018312	9,991454	10,321674	-0,011353
