Kurbelwinkel	Volumen	Pm_Zyl-korrigiert	Pm_Saug	Pm_Saug_alt	P_Abg	Pm_Zyl	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[bar]	
-335.200000	0.000067	0.787327	0.880718	0.889127	0.959385	-0.169164	
-335.100000	0.000067	0.789383	0.880381	0.888658	0.959098	-0.167108	
-335.000000	0.000067	0.787199	0.880246	0.888227	0.958785	-0.169292	
-334.900000	0.000067	0.787167	0.879576	0.887803	0.958454	-0.169324	
-334.800000	0.000068	0.788387	0.879309	0.887386	0.957951	-0.168104	
-334.700000	0.000068	0.788002	0.878962	0.886956	0.957648	-0.168489	
-334.600000	0.000068	0.788420	0.878678	0.886638	0.957142	-0.168072	
-334.500000	0.000068	0.787359	0.878275	0.886211	0.956826	-0.169132	
-334.400000	0.000069	0.785946	0.877976	0.885814	0.956487	-0.170545	
-334.300000	0.000069	0.785785	0.877535	0.885427	0.956096	-0.170706	
-334.200000	0.000069	0.784404	0.877432	0.885050	0.955732	-0.172087	
-334.100000	0.000069	0.786107	0.877000	0.884661	0.955407	-0.170384	
-334.000000	0.000069	0.786139	0.876579	0.884287	0.954901	-0.170352	
-333.900000	0.000070	0.785239	0.876421	0.883859	0.954644	-0.171252	
-333.800000	0.000070	0.784822	0.876014	0.883413	0.954323	-0.171669	
-333.700000	0.000070	0.784308	0.875601	0.882992	0.954102	-0.172183	
-333.600000	0.000070	0.778975	0.875424	0.882573	0.953745	-0.177516	
-333.500000	0.000070	0.779810	0.874995	0.882187	0.953397	-0.176681	
-333.400000	0.000071	0.782926	0.874687	0.881800	0.953095	-0.173565	
-333.300000	0.000071	0.780678	0.874215	0.881398	0.952798	-0.175813	
-333.200000	0.000071	0.780260	0.873914	0.880916	0.952458	-0.176231	
-333.100000	0.000071	0.779746	0.873508	0.880500	0.952112	-0.176745	
-333.000000	0.000072	0.778847	0.873333	0.880164	0.951855	-0.177644	
-332.900000	0.000072	0.778108	0.872722	0.879847	0.951373	-0.178383	
-332.800000	0.000072	0.778782	0.872539	0.879547	0.951072	-0.177709	
-332.700000	0.000072	0.778686	0.872110	0.879100	0.950816	-0.177805	
-332.600000	0.000073	0.776437	0.871812	0.878751	0.950668	-0.180054	
-332.500000	0.000073	0.776662	0.871180	0.878344	0.950231	-0.179829	
-332.400000	0.000073	0.778365	0.870932	0.877981	0.949781	-0.178126	
-332.300000	0.000073	0.774767	0.870487	0.877592	0.949488	-0.181724	
-332.200000	0.000073	0.773353	0.870161	0.877353	0.949218	-0.183138	
-332.100000	0.000074	0.774060	0.869839	0.877019	0.948975	-0.182431	
-332.000000	0.000074	0.774028	0.869439	0.876733	0.948514	-0.182463	
-331.900000	0.000074	0.775442	0.868911	0.876361	0.948082	-0.181050	
-331.800000	0.000074	0.775859	0.868746	0.876087	0.947595	-0.180632	
-331.700000	0.000075	0.772518	0.868354	0.875812	0.947475	-0.183973	
-331.600000	0.000075	0.773900	0.867685	0.875528	0.947090	-0.182591	
-331.500000	0.000075	0.774606	0.867388	0.875224	0.946703	-0.181885	
-331.400000	0.000075	0.773835	0.867102	0.874958	0.946179	-0.182656	
-331.300000	0.000076	0.771105	0.866518	0.874732	0.945998	-0.185386	
-331.200000	0.000076	0.771233	0.865992	0.874488	0.945925	-0.185258	
-331.100000	0.000076	0.773225	0.865699	0.874196	0.945783	-0.183266	
-331.000000	0.000076	0.770205	0.865124	0.873899	0.945212	-0.186286	
-330.900000	0.000076	0.771876	0.864704	0.873563	0.944572	-0.184615	
-330.800000	0.000077	0.771876	0.864370	0.873344	0.944363	-0.184615	
-330.700000	0.000077	0.769916	0.863930	0.873109	0.944328	-0.186575	
-330.600000	0.000077	0.768728	0.863448	0.872853	0.944132	-0.187763	
-330.500000	0.000077	0.768856	0.863037	0.872643	0.943654	-0.187635	
-330.400000	0.000078	0.768920	0.862666	0.872380	0.943099	-0.187571	
-330.300000	0.000078	0.768342	0.862012	0.872046	0.942902	-0.188149	
-330.200000	0.000078	0.767635	0.861670	0.871822	0.942614	-0.188856	
-330.100000	0.000078	0.767507	0.861352	0.871549	0.942479	-0.188984	
-330.000000	0.000079	0.766094	0.860947	0.871382	0.942159	-0.190398	
-329.900000	0.000079	0.765547	0.860403	0.871249	0.941559	-0.190944	
-329.800000	0.000079	0.766640	0.860164	0.870996	0.941423	-0.189851	
-329.700000	0.000079	0.765387	0.859852	0.870690	0.941336	-0.191104	
-329.600000	0.000080	0.764841	0.859338	0.870491	0.941118	-0.191650	
-329.500000	0.000080	0.764776	0.858928	0.870349	0.940856	-0.191715	
-329.400000	0.000080	0.764744	0.858710	0.870136	0.940322	-0.191747	
-329.300000	0.000080	0.763427	0.858188	0.869993	0.939948	-0.193064	
-329.200000	0.000081	0.764391	0.857786	0.869835	0.939880	-0.192100	
-329.100000	0.000081	0.764166	0.857523	0.869643	0.939792	-0.192325	
-329.000000	0.000081	0.761660	0.856935	0.869469	0.939728	-0.194831	
-328.900000	0.000081	0.764198	0.856649	0.869294	0.939448	-0.192293	
-328.800000	0.000082	0.762978	0.856228	0.869126	0.939064	-0.193514	
-328.700000	0.000082	0.763138	0.855639	0.868925	0.938867	-0.193353	
-328.600000	0.000082	0.762496	0.855417	0.868763	0.938688	-0.193995	
-328.500000	0.000082	0.761307	0.854964	0.868571	0.938415	-0.195184	
-328.400000	0.000083	0.761789	0.854369	0.868377	0.938485	-0.194702	
-328.300000	0.000083	0.762014	0.854155	0.868316	0.938157	-0.194477	
