Crank	TKE	EPS	Intensty
[CADaTDCF]	[m^2/s^2]	[m^2/s^3]	[m/s]
1.01E+02	1.1975	266.302	0.858077
1.01E+02	1.19441	264.642	0.856858
1.02E+02	1.1914	263.01	0.855661
1.02E+02	1.18846	261.4	0.854485
1.03E+02	1.18562	265.994	0.854405
1.03E+02	1.18207	264.588	0.853046
1.04E+02	1.17855	263.088	0.851696
1.04E+02	1.1751	261.547	0.850366
1.05E+02	1.1717	259.982	0.84905
1.05E+02	1.16871	258.574	0.847893
1.06E+02	1.16541	257.006	0.846609
1.06E+02	1.16187	260.774	0.84586
1.07E+02	1.15811	259.302	0.844439
1.07E+02	1.15481	257.951	0.843188
1.08E+02	1.15116	256.4	0.841797
1.08E+02	1.14754	254.838	0.84042
1.09E+02	1.14399	253.276	0.83906
1.09E+02	1.14087	251.898	0.837866
1.10E+02	1.13741	250.357	0.836539
1.10E+02	1.13373	253.288	0.835532
1.11E+02	1.12996	251.817	0.834108
1.11E+02	1.12624	250.321	0.8327
1.12E+02	1.12298	248.979	0.831464
1.12E+02	1.11935	247.465	0.830087
