Kurbelwinkel	Hub_AV
[KWnAO]	[mm]
 84.8	 0.791600
 84.9	 0.788200
 85.0	 0.784800
 85.1	 0.781400
 85.2	 0.777900
 85.3	 0.774500
 85.4	 0.771000
 85.5	 0.767600
 85.6	 0.764100
 85.7	 0.760600
 85.8	 0.757100
 85.9	 0.753600
 86.0	 0.750100
 86.1	 0.746600
 86.2	 0.743000
 86.3	 0.739500
 86.4	 0.736000
 86.5	 0.732400
 86.6	 0.728800
 86.7	 0.725200
 86.8	 0.721700
 86.9	 0.718100
 87.0	 0.714500
 87.1	 0.710900
 87.2	 0.707200
 87.3	 0.703600
 87.4	 0.699900
 87.5	 0.696300
 87.6	 0.692600
 87.7	 0.688900
 87.8	 0.685200
 87.9	 0.681500
 88.0	 0.677800
 88.1	 0.674100
 88.2	 0.670300
 88.3	 0.666600
 88.4	 0.662800
 88.5	 0.659000
 88.6	 0.655200
 88.7	 0.651500
 88.8	 0.647700
 88.9	 0.643800
 89.0	 0.640000
 89.1	 0.636200
 89.2	 0.632400
 89.3	 0.628500
 89.4	 0.624700
 89.5	 0.620800
 89.6	 0.616900
 89.7	 0.613000
 89.8	 0.609100
 89.9	 0.605200
 90.0	 0.601300
 90.1	 0.597400
 90.2	 0.593400
 90.3	 0.589500
 90.4	 0.585500
 90.5	 0.581600
 90.6	 0.577600
 90.7	 0.573600
 90.8	 0.569600
 90.9	 0.565500
 91.0	 0.561500
 91.1	 0.557500
 91.2	 0.553500
 91.3	 0.549400
 91.4	 0.545300
 91.5	 0.541200
 91.6	 0.537200
 91.7	 0.533100
 91.8	 0.529000
 91.9	 0.524900
 92.0	 0.520700
 92.1	 0.516600
 92.2	 0.512400
 92.3	 0.508300
 92.4	 0.504100
 92.5	 0.499900
 92.6	 0.495700
 92.7	 0.491500
 92.8	 0.487300
 92.9	 0.483100
 93.0	 0.478900
 93.1	 0.474600
 93.2	 0.470400
 93.3	 0.466100
 93.4	 0.461800
 93.5	 0.457600
 93.6	 0.453300
 93.7	 0.448900
 93.8	 0.444600
 93.9	 0.440300
 94.0	 0.436000
 94.1	 0.431600
 94.2	 0.427300
 94.3	 0.422900
 94.4	 0.418500
 94.5	 0.414100
 94.6	 0.409700
 94.7	 0.405300
 94.8	 0.400900
 94.9	 0.396500
 95.0	 0.392100
 95.1	 0.387700
 95.2	 0.383200
 95.3	 0.378700
 95.4	 0.374300
 95.5	 0.369800
 95.6	 0.365300
 95.7	 0.360800
 95.8	 0.356300
 95.9	 0.351700
 96.0	 0.347200
 96.1	 0.342600
 96.2	 0.338100
 96.3	 0.333500
 96.4	 0.329000
 96.5	 0.324400
 96.6	 0.319800
