Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
 54.1	 1.853000
 54.2	 1.854000
 54.3	 1.854000
 54.4	 1.855000
 54.5	 1.855000
 54.6	 1.855000
 54.7	 1.856000
 54.8	 1.856000
 54.9	 1.856000
 55.0	 1.857000
 55.1	 1.857000
 55.2	 1.857000
 55.3	 1.858000
 55.4	 1.858000
 55.5	 1.858000
 55.6	 1.858000
 55.7	 1.859000
 55.8	 1.859000
 55.9	 1.859000
 56.0	 1.859000
 56.1	 1.860000
 56.2	 1.860000
 56.3	 1.860000
 56.4	 1.860000
 56.5	 1.860000
 56.6	 1.860000
 56.7	 1.861000
 56.8	 1.861000
 56.9	 1.861000
 57.0	 1.861000
 57.1	 1.861000
 57.2	 1.861000
 57.3	 1.861000
 57.4	 1.861000
 57.5	 1.861000
 57.6	 1.861000
 57.7	 1.861000
 57.8	 1.861000
 57.9	 1.861000
 58.0	 1.861000
 58.1	 1.861000
 58.2	 1.861000
 58.3	 1.861000
 58.4	 1.861000
 58.5	 1.861000
 58.6	 1.861000
 58.7	 1.861000
 58.8	 1.861000
 58.9	 1.861000
 59.0	 1.860000
 59.1	 1.860000
 59.2	 1.860000
 59.3	 1.860000
 59.4	 1.860000
 59.5	 1.860000
 59.6	 1.859000
 59.7	 1.859000
 59.8	 1.859000
 59.9	 1.859000
 60.0	 1.858000
 60.1	 1.858000
 60.2	 1.858000
 60.3	 1.858000
 60.4	 1.857000
 60.5	 1.857000
 60.6	 1.857000
 60.7	 1.856000
 60.8	 1.856000
 60.9	 1.856000
 61.0	 1.855000
 61.1	 1.855000
 61.2	 1.855000
 61.3	 1.854000
 61.4	 1.854000
 61.5	 1.853000
 61.6	 1.853000
 61.7	 1.853000
 61.8	 1.852000
 61.9	 1.852000
 62.0	 1.851000
 62.1	 1.851000
 62.2	 1.850000
 62.3	 1.850000
 62.4	 1.849000
 62.5	 1.849000
 62.6	 1.848000
 62.7	 1.848000
 62.8	 1.847000
 62.9	 1.847000
 63.0	 1.846000
 63.1	 1.845000
 63.2	 1.845000
 63.3	 1.844000
 63.4	 1.844000
 63.5	 1.843000
 63.6	 1.842000
 63.7	 1.842000
 63.8	 1.841000
 63.9	 1.840000
 64.0	 1.840000
 64.1	 1.839000
 64.2	 1.838000
 64.3	 1.837000
 64.4	 1.837000
 64.5	 1.836000
 64.6	 1.835000
 64.7	 1.834000
 64.8	 1.834000
 64.9	 1.833000
 65.0	 1.832000
 65.1	 1.831000
 65.2	 1.831000
 65.3	 1.830000
 65.4	 1.829000
 65.5	 1.828000
 65.6	 1.827000
 65.7	 1.826000
 65.8	 1.825000
 65.9	 1.825000
 66.0	 1.824000
 66.1	 1.823000
 66.2	 1.822000
 66.3	 1.821000
 66.4	 1.820000
 66.5	 1.819000
 66.6	 1.818000
 66.7	 1.817000
 66.8	 1.816000
 66.9	 1.815000
 67.0	 1.814000
 67.1	 1.813000
 67.2	 1.812000
 67.3	 1.811000
 67.4	 1.810000
 67.5	 1.809000
 67.6	 1.808000
 67.7	 1.807000
 67.8	 1.805000
 67.9	 1.804000
 68.0	 1.803000
 68.1	 1.802000
 68.2	 1.801000
 68.3	 1.800000
 68.4	 1.798000
 68.5	 1.797000
 68.6	 1.796000
 68.7	 1.795000
 68.8	 1.794000
 68.9	 1.792000
 69.0	 1.791000
 69.1	 1.790000
 69.2	 1.789000
 69.3	 1.787000
 69.4	 1.786000
 69.5	 1.785000
