CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-224.15	1.275472687	5	5	543
-223.9	1.275175407	5	5	544
-223.65	1.275428001	5	5	545
-223.4	1.276345565	5	5	546
-223.15	1.277746001	5	5	547
-222.9	1.279255074	5	5	548
-222.65	1.280533735	5	5	549
-222.4	1.281457217	5	5	550
-222.15	1.28210179	5	5	551
-221.9	1.282557235	5	5	552
-221.65	1.282745551	5	5	553
-221.4	1.282439377	5	5	554
-221.15	1.281503873	5	5	555
-220.9	1.280161656	5	5	556
-220.65	1.279006328	5	5	557
-220.4	1.278670906	5	5	558
-220.15	1.279367157	5	5	559
-219.9	1.280670832	5	5	560
-219.65	1.281763437	5	5	561
-219.4	1.281978464	5	5	562
-219.15	1.281255615	5	5	563
-218.9	1.280182417	5	5	564
-218.65	1.279608976	5	5	565
-218.4	1.280098879	5	5	566
-218.15	1.281548677	5	5	567
-217.9	1.283181291	5	5	568
-217.65	1.2839136	5	5	569
-217.4	1.282918964	5	5	570
-217.15	1.2801062	5	5	571
-216.9	1.27625438	5	5	572
-216.65	1.272698807	5	5	573
-216.4	1.270712392	5	5	574
-216.15	1.270926196	5	5	575
-215.9	1.273121741	5	5	576
-215.65	1.276480472	5	5	577
-215.4	1.280071666	5	5	578
-215.15	1.283245388	5	5	579
-214.9	1.28574712	5	5	580
-214.65	1.287614201	5	5	581
-214.4	1.28901989	5	5	582
-214.15	1.290153195	5	5	583
-213.9	1.29111949	5	5	584
-213.65	1.291858392	5	5	585
-213.4	1.292147136	5	5	586
-213.15	1.291737128	5	5	587
-212.9	1.290542308	5	5	588
-212.65	1.2887223	5	5	589
-212.4	1.286599921	5	5	590
-212.15	1.284517937	5	5	591
-211.9	1.282774272	5	5	592
-211.65	1.281644463	5	5	593
-211.4	1.281380324	5	5	594
-211.15	1.282117888	5	5	595
-210.9	1.283773672	5	5	596
-210.65	1.286062144	5	5	597
-210.4	1.288647674	5	5	598
-210.15	1.291286349	5	5	599
-209.9	1.293812224	5	5	600
-209.65	1.295999035	5	5	601
-209.4	1.297489423	5	5	602
-209.15	1.297936105	5	5	603
-208.9	1.297273909	5	5	604
-208.65	1.295869869	5	5	605
-208.4	1.294369061	5	5	606
-208.15	1.293314254	5	5	607
-207.9	1.292826748	5	5	608
-207.65	1.292597546	5	5	609
-207.4	1.292183301	5	5	610
-207.15	1.291357648	5	5	611
-206.9	1.290247892	5	5	612
-206.65	1.289192497	5	5	613
-206.4	1.288484903	5	5	614
-206.15	1.288218665	5	5	615
-205.9	1.288305752	5	5	616
-205.65	1.288577241	5	5	617
-205.4	1.288853582	5	5	618
