 	 1kHz	 0.5kHz 	 0.25kHz 	 roh
[KWnZOT]	[bar]	[bar]	[bar]	[bar]
-320.7	1.2107	1.2078	1.2081	1.213
-320.6	1.2093	1.207	1.2074	1.2117
-320.5	1.2076	1.2061	1.2067	1.2099
-320.4	1.2056	1.2052	1.2061	1.2069
-320.3	1.2037	1.2043	1.2054	1.2036
-320.2	1.2017	1.2035	1.2048	1.2005
-320.1	1.2	1.2027	1.2042	1.1977
-320	1.1986	1.202	1.2036	1.1957
-319.9	1.1976	1.2013	1.203	1.1942
-319.8	1.1971	1.2007	1.2024	1.1937
-319.7	1.197	1.2002	1.2019	1.1942
-319.6	1.1973	1.1998	1.2013	1.1954
-319.5	1.1978	1.1995	1.2008	1.1972
-319.4	1.1986	1.1992	1.2003	1.1988
-319.3	1.1994	1.1989	1.1998	1.2004
-319.2	1.2001	1.1987	1.1994	1.2019
-319.1	1.2006	1.1984	1.1989	1.2031
-319	1.2008	1.1981	1.1985	1.2038
-318.9	1.2007	1.1978	1.198	1.2034
-318.8	1.2002	1.1975	1.1976	1.2025
-318.7	1.1994	1.1971	1.1972	1.2011
-318.6	1.1983	1.1967	1.1968	1.1994
-318.5	1.1972	1.1963	1.1964	1.1975
-318.4	1.1959	1.1959	1.196	1.1952
-318.3	1.1947	1.1955	1.1956	1.1932
-318.2	1.1937	1.1951	1.1953	1.1916
-318.1	1.1929	1.1948	1.1949	1.1906
-318	1.1924	1.1944	1.1946	1.1902
-317.9	1.1922	1.1941	1.1943	1.1899
-317.8	1.1923	1.1939	1.1939	1.1903
-317.7	1.1927	1.1936	1.1936	1.1912
-317.6	1.1932	1.1934	1.1934	1.1926
-317.5	1.1937	1.1932	1.1931	1.1942
-317.4	1.1942	1.1929	1.1928	1.1954
-317.3	1.1946	1.1927	1.1925	1.1965
-317.2	1.1947	1.1925	1.1923	1.1972
-317.1	1.1945	1.1922	1.192	1.1974
-317	1.1939	1.1919	1.1918	1.197
-316.9	1.1931	1.1915	1.1915	1.1954
-316.8	1.192	1.1912	1.1913	1.1934
-316.7	1.1909	1.1909	1.1911	1.1911
-316.6	1.1896	1.1905	1.1909	1.1889
-316.5	1.1885	1.1902	1.1907	1.187
-316.4	1.1876	1.19	1.1905	1.1852
-316.3	1.187	1.1897	1.1903	1.184
-316.2	1.1868	1.1896	1.1901	1.1837
-316.1	1.1869	1.1895	1.1899	1.1842
-316	1.1874	1.1894	1.1897	1.1855
-315.9	1.1881	1.1894	1.1896	1.1869
-315.8	1.189	1.1894	1.1894	1.1888
-315.7	1.1899	1.1895	1.1893	1.1907
-315.6	1.1908	1.1895	1.1891	1.1926
-315.5	1.1914	1.1895	1.189	1.1942
-315.4	1.1918	1.1895	1.1888	1.1947
-315.3	1.1918	1.1894	1.1887	1.1946
-315.2	1.1915	1.1893	1.1885	1.1939
-315.1	1.1909	1.1892	1.1884	1.1927
-315	1.1901	1.1891	1.1882	1.1912
-314.9	1.1892	1.1889	1.1881	1.189
-314.8	1.1882	1.1887	1.1879	1.1869
-314.7	1.1874	1.1885	1.1878	1.1852
-314.6	1.1868	1.1883	1.1876	1.1841
-314.5	1.1864	1.1881	1.1875	1.1837
-314.4	1.1864	1.188	1.1874	1.1837
-314.3	1.1866	1.1879	1.1872	1.1843
-314.2	1.187	1.1877	1.1871	1.1856
-314.1	1.1875	1.1876	1.1869	1.1873
-314	1.1881	1.1875	1.1868	1.1891
-313.9	1.1886	1.1873	1.1867	1.1903
-313.8	1.189	1.1872	1.1865	1.1912
-313.7	1.189	1.187	1.1864	1.1916
-313.6	1.1888	1.1867	1.1862	1.1915
-313.5	1.1883	1.1865	1.1861	1.1909
-313.4	1.1875	1.1862	1.186	1.1892
-313.3	1.1866	1.1859	1.1858	1.1871
-313.2	1.1855	1.1855	1.1857	1.1851
-313.1	1.1845	1.1852	1.1855	1.1832
-313	1.1836	1.1849	1.1854	1.1818
-312.9	1.1829	1.1847	1.1853	1.1807
-312.8	1.1824	1.1845	1.1852	1.1803
-312.7	1.1822	1.1843	1.1851	1.1804
-312.6	1.1822	1.1841	1.185	1.1811
-312.5	1.1825	1.1841	1.1849	1.1821
-312.4	1.183	1.184	1.1848	1.1825
-312.3	1.1836	1.184	1.1848	1.1831
-312.2	1.1842	1.184	1.1847	1.184
-312.1	1.1848	1.184	1.1847	1.185
-312	1.1854	1.1841	1.1846	1.1861
-311.9	1.1857	1.1841	1.1846	1.1872
-311.8	1.1858	1.1841	1.1845	1.1881
-311.7	1.1857	1.1841	1.1845	1.1885
-311.6	1.1853	1.1841	1.1845	1.1885
-311.5	1.1847	1.1841	1.1845	1.1877
-311.4	1.1839	1.1841	1.1845	1.1853
-311.3	1.1831	1.1841	1.1844	1.1826
-311.2	1.1824	1.1842	1.1844	1.1802
-311.1	1.1819	1.1842	1.1845	1.1783
-311	1.1818	1.1843	1.1845	1.1775
-310.9	1.1821	1.1845	1.1845	1.1779
-310.8	1.1828	1.1847	1.1845	1.1794
-310.7	1.1838	1.1849	1.1846	1.1818
-310.6	1.1849	1.1851	1.1846	1.1848
-310.5	1.1862	1.1853	1.1847	1.1878
-310.4	1.1873	1.1855	1.1847	1.1897
-310.3	1.1882	1.1856	1.1847	1.191
-310.2	1.1888	1.1857	1.1848	1.1917
-310.1	1.189	1.1858	1.1848	1.1918
-310	1.1888	1.1858	1.1849	1.1913
-309.9	1.1883	1.1857	1.1849	1.19
-309.8	1.1875	1.1856	1.185	1.1884
-309.7	1.1865	1.1854	1.185	1.1867
-309.6	1.1854	1.1853	1.1851	1.185
-309.5	1.1844	1.1851	1.1852	1.1835
-309.4	1.1834	1.185	1.1852	1.1819
-309.3	1.1826	1.1848	1.1853	1.1807
-309.2	1.1822	1.1847	1.1854	1.1801
-309.1	1.182	1.1847	1.1854	1.1801
-309	1.1821	1.1847	1.1855	1.1806
-308.9	1.1826	1.1848	1.1856	1.181
-308.8	1.1833	1.1849	1.1857	1.1818
-308.7	1.1841	1.185	1.1859	1.1831
-308.6	1.1851	1.1852	1.186	1.1848
-308.5	1.1861	1.1854	1.1861	1.1867
-308.4	1.1869	1.1856	1.1862	1.1884
-308.3	1.1876	1.1857	1.1864	1.1899
-308.2	1.188	1.1859	1.1865	1.191
-308.1	1.1881	1.1861	1.1867	1.1915
-308	1.1878	1.1862	1.1868	1.1912
-307.9	1.1874	1.1863	1.187	1.1893
-307.8	1.1867	1.1865	1.1871	1.1871
-307.7	1.1861	1.1866	1.1873	1.1848
-307.6	1.1855	1.1868	1.1874	1.1829
-307.5	1.1852	1.187	1.1876	1.1818
-307.4	1.1851	1.1872	1.1878	1.1816
-307.3	1.1854	1.1874	1.1879	1.1823
-307.2	1.186	1.1877	1.1881	1.1838
-307.1	1.1868	1.1881	1.1883	1.186
-307	1.1877	1.1884	1.1884	1.1884
-306.9	1.1887	1.1888	1.1886	1.19
-306.8	1.1897	1.1892	1.1888	1.1914
-306.7	1.1905	1.1895	1.189	1.1924
-306.6	1.1911	1.1898	1.1891	1.1931
-306.5	1.1915	1.1901	1.1893	1.1935
-306.4	1.1916	1.1904	1.1894	1.1932
-306.3	1.1916	1.1906	1.1895	1.1927
-306.2	1.1914	1.1908	1.1897	1.192
-306.1	1.1911	1.191	1.1898	1.1912
-306	1.1908	1.1912	1.1899	1.1904
-305.9	1.1906	1.1913	1.19	1.1891
-305.8	1.1906	1.1914	1.1901	1.1882
-305.7	1.1907	1.1915	1.1902	1.1879
-305.6	1.1911	1.1916	1.1903	1.1883
-305.5	1.1916	1.1917	1.1904	1.1894
-305.4	1.1922	1.1918	1.1904	1.1911
-305.3	1.1929	1.1918	1.1905	1.1931
-305.2	1.1935	1.1918	1.1905	1.1951
-305.1	1.1939	1.1917	1.1906	1.1968
-305	1.194	1.1915	1.1906	1.1978
-304.9	1.1938	1.1914	1.1906	1.197
-304.8	1.1933	1.1911	1.1906	1.1955
-304.7	1.1924	1.1908	1.1906	1.1936
-304.6	1.1914	1.1905	1.1906	1.1914
-304.5	1.1903	1.1902	1.1906	1.1894
-304.4	1.1892	1.1899	1.1906	1.1877
-304.3	1.1882	1.1896	1.1906	1.1866
-304.2	1.1874	1.1894	1.1906	1.1859
-304.1	1.1868	1.1891	1.1906	1.1857
-304	1.1864	1.189	1.1906	1.1859
-303.9	1.1863	1.1889	1.1906	1.1855
