Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-156.1	 7.464501619004273E-4	 4.7732309688811383E-4	 47214.00650698517	 47114.94102231915	 47114.94102231915	 47114.94102231915	 47242.4531804079	 
-156.0	 7.548372423712185E-4	 4.7721001662701736E-4	 47103.554369935155	 47129.59054725231	 47129.59054725231	 47129.59054725231	 47132.40376286909	 
-155.9	 7.632243228420098E-4	 4.770964443241286E-4	 46993.046686163136	 47144.31209089671	 47144.31209089671	 47144.31209089671	 47022.2806889345	 
-155.8	 7.716114033128012E-4	 4.7698237996186317E-4	 46882.48289632394	 47159.105766496206	 47159.105766496206	 47159.105766496206	 46912.08337018772	 
-155.7	 7.799984837835925E-4	 4.7686782352288044E-4	 46746.46633678319	 47173.971687894285	 47173.971687894285	 47173.971687894285	 46776.41781047107	 
-155.6	 7.883855642543838E-4	 4.767527749900869E-4	 46584.92158757602	 47188.90996953566	 47188.90996953566	 47188.90996953566	 46615.20346309652	 
-155.5	 7.967726447251751E-4	 4.7663723434664053E-4	 46448.54236608804	 47203.9207264679	 47203.9207264679	 47203.9207264679	 46479.12594548288	 
-155.4	 8.051597251959664E-4	 4.7652120157595286E-4	 46337.40265903413	 47219.004074343	 47219.004074343	 47219.004074343	 46368.264279959614	 
-155.3	 8.135468056667578E-4	 4.7640467666169395E-4	 46194.96444398997	 47234.16012941904	 47234.16012941904	 47234.16012941904	 46226.08927899795	 
-155.2	 8.21933886137549E-4	 4.762876595877948E-4	 46047.30800858034	 47249.389008561804	 47249.389008561804	 47249.389008561804	 46078.671925011404	 
-155.1	 8.303209666083404E-4	 4.7617015033845245E-4	 45925.722309824734	 47264.690829246414	 47264.690829246414	 47264.690829246414	 45957.29970014495	 
-155.0	 8.387080470791317E-4	 4.760521488981313E-4	 45842.68206557015	 47280.065709559	 47280.065709559	 47280.065709559	 45874.448425277886	 
-154.9	 8.470951275499231E-4	 4.759336552515692E-4	 45798.26933214696	 47295.51376819835	 47295.51376819835	 47295.51376819835	 45830.20792067642	 
-154.8	 8.554822080207143E-4	 4.7581466938377895E-4	 45753.88569442688	 47311.03512447756	 47311.03512447756	 47311.03512447756	 45785.98817764636	 
-154.7	 8.638692884915056E-4	 4.756951912800533E-4	 45709.53100962694	 47326.629898325766	 47326.629898325766	 47326.629898325766	 45741.789045811995	 
