Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
-262.0	 -0.010323783833287543	 3.2690196465734716E-4	 0.9125226204519582	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-261.0	 -0.010240527512051354	 3.3061014674106993E-4	 0.9141430695365659	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-260.0	 -0.010157271190815163	 3.342886465733794E-4	 0.9156481076365166	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-259.0	 -0.010074014869578974	 3.379365325903913E-4	 0.9172074701303334	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-258.0	 -0.009990758548342783	 3.415529013168017E-4	 0.9187985869701815	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-257.0	 -0.009907502227106594	 3.4513687731099074E-4	 0.9203319402936178	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-256.0	 -0.009824245905870404	 3.486876130736487E-4	 0.9218323537193157	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-255.0	 -0.009740989584634215	 3.522042889208638E-4	 0.9233947395679075	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-254.0	 -0.009657733263398024	 3.556861128226783E-4	 0.9249765332014207	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-253.0	 -0.009574476942161835	 3.5913232020818176E-4	 0.9264003900379648	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-252.0	 -0.009491220620925644	 3.6254217373827646E-4	 0.9275772887679615	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-251.0	 -0.009407964299689455	 3.6591496304730136E-4	 0.9285860558469635	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-250.0	 -0.009324707978453264	 3.6925000445475146E-4	 0.9295700401781541	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-249.0	 -0.009241451657217075	 3.7254664064837443E-4	 0.9306906317334951	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-248.0	 -0.009158195335980885	 3.7580424033996894E-4	 0.9320241160481957	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-247.0	 -0.009074939014744696	 3.790221978952345E-4	 0.9334629216889673	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-246.0	 -0.008991682693508505	 3.8219993293906124E-4	 0.9347958921326381	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-245.0	 -0.008908426372272316	 3.853368899376621E-4	 0.9359406307108958	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-244.0	 -0.008825170051036125	 3.88432537758973E-4	 0.9369835383473794	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-243.0	 -0.008741913729799936	 3.914863692127572E-4	 0.9381038713838349	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-242.0	 -0.008658657408563745	 3.944979005718551E-4	 0.9394433591621681	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-241.0	 -0.008575401087327557	 3.974666710760254E-4	 0.9409344727033206	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-240.0	 -0.008492144766091366	 4.0039224241982056E-4	 0.942344336796999	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-239.0	 -0.008408888444855177	 4.0327419822592977E-4	 0.9435254362197212	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-238.0	 -0.008325632123618986	 4.0611214350541554E-4	 0.944510679036805	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-237.0	 -0.008242375802382797	 4.0890570410624617E-4	 0.9454218045522268	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-236.0	 -0.008159119481146606	 4.11654526151518E-4	 0.9464040212106509	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-235.0	 -0.008075863159910417	 4.1435827546872393E-4	 0.9475610582880096	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-234.0	 -0.007992606838674227	 4.1701663701141224E-4	 0.948812249084646	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-233.0	 -0.007909350517438038	 4.1962931427453714E-4	 0.9500690047501589	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-232.0	 -0.007826094196201847	 4.221960287047769E-4	 0.9513854046841885	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-231.0	 -0.007742837874965656	 4.2471651910706E-4	 0.9527994594425611	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-230.0	 -0.007659581553729467	 4.2719054104849613E-4	 0.9542390552532152	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-229.0	 -0.0075763252324932764	 4.296178662608759E-4	 0.9556443223487118	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-228.0	 -0.0074930689112570874	 4.319982820428598E-4	 0.9569904663368349	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-227.0	 -0.007409812590020897	 4.343315906629302E-4	 0.9582916584529485	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-226.0	 -0.007326556268784708	 4.3661760876414173E-4	 0.9595913333663585	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-225.0	 -0.007243299947548517	 4.3885616677165785E-4	 0.9609086382979113	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-224.0	 -0.007160043626312328	 4.410471083040139E-4	 0.962234795150955	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-223.0	 -0.007076787305076137	 4.4319028958900825E-4	 0.9635570639617744	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-222.0	 -0.006993530983839948	 4.4528557888506463E-4	 0.964855119742741	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-221.0	 -0.0069102746626037576	 4.4733285590887865E-4	 0.9662435417780443	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-220.0	 -0.0068270183413675686	 4.493320112700993E-4	 0.967920649645446	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-219.0	 -0.006743762020131378	 4.512829459137635E-4	 0.969808042289354	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-218.0	 -0.006660505698895189	 4.5318557057115173E-4	 0.9716139031173205	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-217.0	 -0.006577249377658998	 4.5503980521968663E-4	 0.9732206444334967	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-216.0	 -0.006493993056422809	 4.568455785524586E-4	 0.9747647789543623	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-215.0	 -0.006410736735186618	 4.5860282745791844E-4	 0.976365873659956	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-214.0	 -0.006327480413950429	 4.6031149651023297E-4	 0.9779800489527135	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-213.0	 -0.006244224092714239	 4.619715374707645E-4	 0.9795367801089072	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-212.0	 -0.00616096777147805	 4.6358290880109783E-4	 0.9811945772390489	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-211.0	 -0.006077711450241859	 4.651455751879945E-4	 0.9831978828303544	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-210.0	 -0.00599445512900567	 4.666595070806276E-4	 0.9855387086921462	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-209.0	 -0.005911198807769479	 4.6812468024041336E-4	 0.9879489059212383	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-208.0	 -0.00582794248653329	 4.6954107530372124E-4	 0.9902113872341144	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-207.0	 -0.0057446861652970995	 4.7090867735771964E-4	 0.9923084408709241	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-206.0	 -0.0056614298440609105	 4.72227475529582E-4	 0.9943112104239485	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-205.0	 -0.00557817352282472	 4.734974625892526E-4	 0.9962322349332644	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-204.0	 -0.005494917201588531	 4.747186345659462E-4	 0.9980656588488167	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-203.0	 -0.00541166088035234	 4.7589099037853404E-4	 0.9999194072901864	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-202.0	 -0.005328404559116151	 4.7701453147994366E-4	 1.0019198338117166	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-201.0	 -0.00524514823787996	 4.780892615156846E-4	 1.0040312164935585	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-200.0	 -0.005161891916643771	 4.7911518599659053E-4	 1.0061330084117501	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-199.0	 -0.005078635595407581	 4.800923119858523E-4	 1.008215310242528	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-198.0	 -0.004995379274171392	 4.8102064780040536E-4	 1.0103298726043966	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-197.0	 -0.004912122952935201	 4.819002027267139E-4	 1.0124222167244656	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-196.0	 -0.004828866631699012	 4.827309867509901E-4	 1.0143546811809987	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-195.0	 -0.004745610310462821	 4.8351301030387383E-4	 1.0161470064984972	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-194.0	 -0.004662353989226632	 4.842462840195835E-4	 1.017986007191229	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-193.0	 -0.0045790976679904415	 4.8493081850955203E-4	 1.0199294318984706	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-192.0	 -0.0044958413467542525	 4.855666241505462E-4	 1.0218200685469907	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-191.0	 -0.004412585025518062	 4.8615371088726406E-4	 1.023641335048724	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-190.0	 -0.004329328704281873	 4.866920880494068E-4	 1.025562142800668	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-189.0	 -0.004246072383045682	 4.871817641832103E-4	 1.0275757585024659	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-188.0	 -0.004162816061809493	 4.876227468974247E-4	 1.0294659648359559	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
