Kurbelwinkel	V_alpha_aus_DEWE	Pm_Zyl	Pm_Saug	Pm_Saug_alt	P_Abg	V_alpha	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[m^3]	
-22.500000	0.000063	15.387348	0.949392	0.926899	1.033402	0.000062	
-22.400000	0.000062	15.453572	0.949890	0.927005	1.033369	0.000062	
-22.300000	0.000062	15.520259	0.950387	0.927110	1.033333	0.000061	
-22.200000	0.000062	15.587423	0.950883	0.927214	1.033295	0.000061	
-22.100000	0.000062	15.655077	0.951378	0.927319	1.033255	0.000061	
-22.000000	0.000062	15.723236	0.951873	0.927422	1.033213	0.000061	
-21.900000	0.000062	15.791917	0.952366	0.927525	1.033169	0.000061	
-21.800000	0.000061	15.861143	0.952859	0.927628	1.033125	0.000060	
-21.700000	0.000061	15.930935	0.953350	0.927730	1.033080	0.000060	
-21.600000	0.000061	16.001323	0.953840	0.927831	1.033034	0.000060	
-21.500000	0.000061	16.072340	0.954328	0.927932	1.032990	0.000060	
-21.400000	0.000061	16.144025	0.954815	0.928032	1.032946	0.000060	
-21.300000	0.000060	16.216414	0.955301	0.928131	1.032903	0.000060	
-21.200000	0.000060	16.289547	0.955784	0.928230	1.032862	0.000059	
-21.100000	0.000060	16.363462	0.956267	0.928329	1.032822	0.000059	
-21.000000	0.000060	16.438199	0.956747	0.928427	1.032785	0.000059	
-20.900000	0.000060	16.513801	0.957225	0.928525	1.032750	0.000059	
-20.800000	0.000060	16.590313	0.957702	0.928624	1.032717	0.000059	
-20.700000	0.000059	16.667783	0.958176	0.928722	1.032686	0.000058	
-20.600000	0.000059	16.746256	0.958649	0.928821	1.032657	0.000058	
-20.500000	0.000059	16.825780	0.959120	0.928920	1.032630	0.000058	
-20.400000	0.000059	16.906401	0.959589	0.929020	1.032605	0.000058	
-20.300000	0.000059	16.988169	0.960056	0.929120	1.032580	0.000058	
-20.200000	0.000058	17.071138	0.960521	0.929222	1.032557	0.000058	
-20.100000	0.000058	17.155359	0.960983	0.929323	1.032535	0.000057	
-20.000000	0.000058	17.240885	0.961444	0.929426	1.032513	0.000057	
-19.900000	0.000058	17.327762	0.961903	0.929529	1.032490	0.000057	
-19.800000	0.000058	17.416037	0.962360	0.929633	1.032468	0.000057	
-19.700000	0.000058	17.505757	0.962814	0.929739	1.032445	0.000057	
-19.600000	0.000057	17.596973	0.963267	0.929844	1.032421	0.000057	
-19.500000	0.000057	17.689734	0.963718	0.929951	1.032397	0.000056	
-19.400000	0.000057	17.784094	0.964167	0.930059	1.032372	0.000056	
-19.300000	0.000057	17.880100	0.964613	0.930167	1.032346	0.000056	
-19.200000	0.000057	17.977796	0.965058	0.930276	1.032319	0.000056	
-19.100000	0.000057	18.077227	0.965501	0.930385	1.032292	0.000056	
-19.000000	0.000056	18.178437	0.965941	0.930496	1.032264	0.000056	
-18.900000	0.000056	18.281474	0.966379	0.930607	1.032235	0.000055	
-18.800000	0.000056	18.386389	0.966815	0.930719	1.032207	0.000055	
-18.700000	0.000056	18.493230	0.967248	0.930832	1.032179	0.000055	
-18.600000	0.000056	18.602049	0.967679	0.930946	1.032152	0.000055	
-18.500000	0.000056	18.712891	0.968108	0.931061	1.032125	0.000055	
-18.400000	0.000056	18.825809	0.968533	0.931177	1.032099	0.000055	
-18.300000	0.000055	18.940855	0.968956	0.931294	1.032075	0.000055	
-18.200000	0.000055	19.058083	0.969376	0.931412	1.032051	0.000054	
-18.100000	0.000055	19.177546	0.969793	0.931532	1.032029	0.000054	
-18.000000	0.000055	19.299292	0.970207	0.931653	1.032009	0.000054	
-17.900000	0.000055	19.423364	0.970617	0.931775	1.031989	0.000054	
-17.800000	0.000055	19.549801	0.971025	0.931898	1.031972	0.000054	
-17.700000	0.000054	19.678640	0.971428	0.932023	1.031955	0.000054	
-17.600000	0.000054	19.809919	0.971828	0.932149	1.031939	0.000053	
-17.500000	0.000054	19.943671	0.972225	0.932276	1.031924	0.000053	
-17.400000	0.000054	20.079924	0.972617	0.932404	1.031910	0.000053	
-17.300000	0.000054	20.218696	0.973005	0.932534	1.031896	0.000053	
-17.200000	0.000054	20.360000	0.973390	0.932665	1.031883	0.000053	
-17.100000	0.000054	20.503843	0.973770	0.932797	1.031869	0.000053	
-17.000000	0.000053	20.650231	0.974146	0.932930	1.031854	0.000053	
