Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
-245.0	 -0.008908426372272316	 3.853368899376621E-4	 0.9359406307108958	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-244.0	 -0.008825170051036125	 3.88432537758973E-4	 0.9369835383473794	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-243.0	 -0.008741913729799936	 3.914863692127572E-4	 0.9381038713838349	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-242.0	 -0.008658657408563745	 3.944979005718551E-4	 0.9394433591621681	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-241.0	 -0.008575401087327557	 3.974666710760254E-4	 0.9409344727033206	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-240.0	 -0.008492144766091366	 4.0039224241982056E-4	 0.942344336796999	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-239.0	 -0.008408888444855177	 4.0327419822592977E-4	 0.9435254362197212	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-238.0	 -0.008325632123618986	 4.0611214350541554E-4	 0.944510679036805	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-237.0	 -0.008242375802382797	 4.0890570410624617E-4	 0.9454218045522268	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-236.0	 -0.008159119481146606	 4.11654526151518E-4	 0.9464040212106509	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-235.0	 -0.008075863159910417	 4.1435827546872393E-4	 0.9475610582880096	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-234.0	 -0.007992606838674227	 4.1701663701141224E-4	 0.948812249084646	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-233.0	 -0.007909350517438038	 4.1962931427453714E-4	 0.9500690047501589	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-232.0	 -0.007826094196201847	 4.221960287047769E-4	 0.9513854046841885	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-231.0	 -0.007742837874965656	 4.2471651910706E-4	 0.9527994594425611	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-230.0	 -0.007659581553729467	 4.2719054104849613E-4	 0.9542390552532152	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-229.0	 -0.0075763252324932764	 4.296178662608759E-4	 0.9556443223487118	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-228.0	 -0.0074930689112570874	 4.319982820428598E-4	 0.9569904663368349	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-227.0	 -0.007409812590020897	 4.343315906629302E-4	 0.9582916584529485	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-226.0	 -0.007326556268784708	 4.3661760876414173E-4	 0.9595913333663585	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-225.0	 -0.007243299947548517	 4.3885616677165785E-4	 0.9609086382979113	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-224.0	 -0.007160043626312328	 4.410471083040139E-4	 0.962234795150955	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-223.0	 -0.007076787305076137	 4.4319028958900825E-4	 0.9635570639617744	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
