[KWnZOT]	[bar]	[bar]	[bar]
-180.0000	1.3776	1.3776	1.3776
-179.5000	1.3820	1.3820	1.3820
-179.0000	1.3768	1.3768	1.3768
-178.5000	1.3851	1.3851	1.3851
-178.0000	1.3824	1.3824	1.3824
-177.5000	1.3842	1.3842	1.3842
-177.0000	1.3866	1.3866	1.3866
-176.5000	1.3831	1.3831	1.3831
-176.0000	1.3883	1.3883	1.3883
-175.5000	1.3909	1.3909	1.3909
-175.0000	1.3886	1.3886	1.3886
-174.5000	1.3832	1.3832	1.3832
-174.0000	1.3917	1.3917	1.3917
-173.5000	1.3986	1.3986	1.3986
-173.0000	1.3949	1.3949	1.3949
-172.5000	1.3995	1.3995	1.3995
-172.0000	1.3966	1.3966	1.3966
-171.5000	1.3988	1.3988	1.3988
-171.0000	1.3942	1.3942	1.3942
-170.5000	1.4046	1.4046	1.4046
-170.0000	1.4045	1.4045	1.4045
-169.5000	1.4054	1.4054	1.4054
-169.0000	1.4023	1.4023	1.4023
-168.5000	1.4075	1.4075	1.4075
-168.0000	1.4085	1.4085	1.4085
-167.5000	1.4056	1.4056	1.4056
-167.0000	1.4107	1.4107	1.4107
-166.5000	1.4090	1.4090	1.4090
-166.0000	1.4100	1.4100	1.4100
-165.5000	1.4129	1.4129	1.4129
-165.0000	1.4195	1.4195	1.4195
-164.5000	1.4136	1.4136	1.4136
-164.0000	1.4079	1.4079	1.4079
-163.5000	1.4176	1.4176	1.4176
-163.0000	1.4216	1.4216	1.4216
-162.5000	1.4224	1.4224	1.4224
-162.0000	1.4232	1.4232	1.4232
-161.5000	1.4275	1.4275	1.4275
-161.0000	1.4204	1.4204	1.4204
-160.5000	1.4234	1.4234	1.4234
-160.0000	1.4260	1.4260	1.4260
-159.5000	1.4372	1.4372	1.4372
-159.0000	1.4313	1.4313	1.4313
-158.5000	1.4282	1.4282	1.4282
-158.0000	1.4322	1.4322	1.4322
-157.5000	1.4404	1.4404	1.4404
-157.0000	1.4411	1.4411	1.4411
-156.5000	1.4378	1.4378	1.4378
-156.0000	1.4412	1.4412	1.4412
-155.5000	1.4470	1.4470	1.4470
-155.0000	1.4515	1.4515	1.4515
-154.5000	1.4502	1.4502	1.4502
-154.0000	1.4524	1.4524	1.4524
-153.5000	1.4563	1.4563	1.4563
-153.0000	1.4541	1.4541	1.4541
-152.5000	1.4603	1.4603	1.4603
-152.0000	1.4665	1.4665	1.4665
-151.5000	1.4756	1.4756	1.4756
-151.0000	1.4647	1.4647	1.4647
-150.5000	1.4675	1.4675	1.4675
-150.0000	1.4725	1.4725	1.4725
-149.5000	1.4796	1.4796	1.4796
-149.0000	1.4804	1.4804	1.4804
-148.5000	1.4838	1.4838	1.4838
-148.0000	1.4937	1.4937	1.4937
-147.5000	1.4899	1.4899	1.4899
-147.0000	1.4928	1.4928	1.4928
-146.5000	1.4961	1.4961	1.4961
-146.0000	1.5035	1.5035	1.5035
-145.5000	1.5070	1.5070	1.5070
-145.0000	1.5047	1.5047	1.5047
-144.5000	1.5088	1.5088	1.5088
-144.0000	1.5313	1.5313	1.5313
-143.5000	1.5277	1.5277	1.5277
-143.0000	1.5093	1.5093	1.5093
-142.5000	1.5262	1.5262	1.5262
-142.0000	1.5442	1.5442	1.5442
-141.5000	1.5404	1.5404	1.5404
-141.0000	1.5347	1.5347	1.5347
-140.5000	1.5528	1.5528	1.5528
-140.0000	1.5612	1.5612	1.5612
-139.5000	1.5455	1.5455	1.5455
-139.0000	1.5574	1.5574	1.5574
-138.5000	1.5728	1.5728	1.5728
-138.0000	1.5807	1.5807	1.5807
-137.5000	1.5762	1.5762	1.5762
-137.0000	1.5851	1.5851	1.5851
-136.5000	1.6017	1.6017	1.6017
-136.0000	1.5877	1.5877	1.5877
-135.5000	1.5891	1.5891	1.5891
-135.0000	1.6121	1.6121	1.6121
-134.5000	1.6293	1.6293	1.6293
-134.0000	1.6127	1.6127	1.6127
-133.5000	1.6186	1.6186	1.6186
-133.0000	1.6352	1.6352	1.6352
-132.5000	1.6405	1.6405	1.6405
-132.0000	1.6328	1.6328	1.6328
-131.5000	1.6482	1.6482	1.6482
-131.0000	1.6726	1.6726	1.6726
-130.5000	1.6651	1.6651	1.6651
-130.0000	1.6554	1.6554	1.6554
-129.5000	1.6758	1.6758	1.6758
-129.0000	1.6936	1.6936	1.6936
-128.5000	1.6875	1.6875	1.6875
-128.0000	1.6893	1.6893	1.6893
-127.5000	1.7100	1.7100	1.7100
-127.0000	1.7182	1.7182	1.7182
-126.5000	1.7150	1.7150	1.7150
-126.0000	1.7279	1.7279	1.7279
-125.5000	1.7411	1.7411	1.7411
-125.0000	1.7436	1.7436	1.7436
