[KWnZOT]	[bar]	[bar]	[bar]
-327.7	2.2777	2.1837	2.754
-327.6	2.2778	2.1852	2.7539
-327.5	2.2786	2.1856	2.7523
-327.4	2.2815	2.1865	2.7523
-327.3	2.2819	2.1881	2.7527
-327.2	2.2844	2.1883	2.7507
-327.1	2.2846	2.1891	2.7504
-327	2.2891	2.1906	2.7515
-326.9	2.2852	2.1915	2.7501
-326.8	2.2877	2.192	2.7496
-326.7	2.2888	2.1925	2.7491
-326.6	2.2892	2.1938	2.7488
-326.5	2.288	2.1944	2.7483
-326.4	2.289	2.1955	2.7481
-326.3	2.2902	2.1962	2.7483
-326.2	2.2904	2.1967	2.7469
-326.1	2.2922	2.1974	2.7459
-326	2.2946	2.199	2.7478
-325.9	2.293	2.1997	2.747
-325.8	2.2951	2.2006	2.7461
-325.7	2.2953	2.2018	2.7469
-325.6	2.2973	2.2023	2.7461
-325.5	2.2949	2.2038	2.7461
-325.4	2.3016	2.2041	2.746
-325.3	2.2993	2.2048	2.7462
-325.2	2.2969	2.2059	2.7463
-325.1	2.2938	2.2065	2.7463
-325	2.287	2.2079	2.7475
-324.9	2.3004	2.2092	2.7487
-324.8	2.335	2.2096	2.7476
-324.7	2.3154	2.2107	2.7486
-324.6	2.2716	2.2117	2.7494
-324.5	2.2727	2.2126	2.7491
-324.4	2.2989	2.2132	2.7493
-324.3	2.3116	2.2148	2.7509
-324.2	2.3068	2.2158	2.7514
-324.1	2.293	2.2167	2.7516
-324	2.2847	2.2174	2.7515
-323.9	2.2856	2.2186	2.7523
-323.8	2.2899	2.22	2.7527
-323.7	2.2957	2.2205	2.7529
-323.6	2.2964	2.2212	2.7532
-323.5	2.3057	2.2223	2.7544
-323.4	2.3044	2.2232	2.7551
-323.3	2.2975	2.2234	2.7554
-323.2	2.3008	2.2247	2.7563
-323.1	2.298	2.2254	2.7578
-323	2.2943	2.2254	2.7574
-322.9	2.2961	2.2269	2.7587
-322.8	2.3025	2.2272	2.7599
-322.7	2.316	2.2283	2.7613
-322.6	2.3119	2.2288	2.7614
-322.5	2.3006	2.2295	2.7608
-322.4	2.3113	2.2303	2.7623
-322.3	2.3173	2.2312	2.7637
-322.2	2.308	2.2315	2.7639
-322.1	2.3003	2.232	2.7654
-322	2.3077	2.233	2.7683
-321.9	2.3252	2.2328	2.7675
-321.8	2.3308	2.2333	2.7692
-321.7	2.3184	2.2339	2.7703
-321.6	2.2979	2.2345	2.7715
-321.5	2.3089	2.2343	2.7699
-321.4	2.3181	2.2351	2.7716
-321.3	2.3179	2.2361	2.7735
-321.2	2.316	2.237	2.7738
-321.1	2.3204	2.2367	2.773
-321	2.326	2.2377	2.7747
-320.9	2.3218	2.2382	2.7749
-320.8	2.3254	2.2388	2.7759
-320.7	2.3248	2.2385	2.7759
-320.6	2.3189	2.2391	2.7782
-320.5	2.3177	2.2399	2.7799
-320.4	2.3252	2.2398	2.7789
-320.3	2.3351	2.2404	2.7813
-320.2	2.343	2.2408	2.7835
-320.1	2.3416	2.2412	2.7842
-320	2.3265	2.2407	2.7842
-319.9	2.324	2.2417	2.7871
-319.8	2.3282	2.2415	2.7868
-319.7	2.3356	2.2421	2.7891
-319.6	2.3401	2.2416	2.7896
-319.5	2.3421	2.2424	2.7918
-319.4	2.3419	2.243	2.7942
-319.3	2.3373	2.2433	2.7947
-319.2	2.3343	2.2435	2.7959
-319.1	2.3365	2.2432	2.7975
-319	2.3411	2.2442	2.8003
-318.9	2.3391	2.2441	2.8007
-318.8	2.3409	2.2447	2.8031
-318.7	2.343	2.2444	2.8028
-318.6	2.3482	2.2448	2.8027
-318.5	2.3475	2.2448	2.8025
-318.4	2.3471	2.2447	2.8025
-318.3	2.3471	2.2452	2.8034
-318.2	2.3489	2.2453	2.8036
-318.1	2.3527	2.2459	2.8035
-318	2.3582	2.2464	2.8041
-317.9	2.3553	2.2471	2.8049
-317.8	2.3492	2.2473	2.8041
-317.7	2.3497	2.2481	2.805
-317.6	2.3517	2.2479	2.8037
-317.5	2.3565	2.2486	2.8042
-317.4	2.3571	2.2493	2.8052
-317.3	2.3556	2.2495	2.8042
-317.2	2.354	2.2506	2.8047
-317.1	2.3558	2.2504	2.8035
-317	2.3546	2.2509	2.8041
-316.9	2.3567	2.2511	2.804
-316.8	2.357	2.2512	2.8048
-316.7	2.3587	2.2512	2.8056
-316.6	2.3581	2.2507	2.8056
-316.5	2.3578	2.2512	2.8068
-316.4	2.3569	2.2515	2.8078
-316.3	2.3576	2.2517	2.8086
-316.2	2.3597	2.252	2.8095
-316.1	2.364	2.2521	2.8107
-316	2.3632	2.2527	2.8129
-315.9	2.3657	2.2535	2.8151
-315.8	2.3651	2.2538	2.8152
-315.7	2.3636	2.2542	2.8162
-315.6	2.3629	2.2551	2.8184
-315.5	2.3624	2.2556	2.8193
-315.4	2.3605	2.2559	2.8201
-315.3	2.3636	2.2566	2.8215
-315.2	2.3669	2.2564	2.821
-315.1	2.3643	2.2575	2.8232
-315	2.3644	2.2575	2.8223
-314.9	2.3645	2.2574	2.8222
-314.8	2.3624	2.2587	2.8245
-314.7	2.3649	2.2591	2.8244
-314.6	2.3657	2.2594	2.8247
-314.5	2.3672	2.2596	2.8248
-314.4	2.3672	2.2604	2.8256
-314.3	2.367	2.2603	2.8253
-314.2	2.3675	2.2607	2.8251
-314.1	2.3662	2.2609	2.8245
-314	2.3643	2.2611	2.8238
-313.9	2.3644	2.2612	2.823
-313.8	2.3672	2.2623	2.8246
-313.7	2.3687	2.2625	2.8232
-313.6	2.3664	2.2627	2.8233
-313.5	2.3665	2.2632	2.8234
-313.4	2.3678	2.2642	2.8245
-313.3	2.363	2.2645	2.8245
-313.2	2.3653	2.265	2.8242
-313.1	2.3678	2.2659	2.8253
-313	2.3642	2.266	2.825
-312.9	2.3636	2.2673	2.8262
-312.8	2.3632	2.2678	2.8264
-312.7	2.363	2.2678	2.8259
