Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
8.0	 0.011498060265735108	 4.291270740574986E-5	 4624289.4768583495	 5516109.965011815	 5584644.405839209	 5584630.146982025	 4886939.692627161	 
9.5	 0.011623039181667013	 4.402142195663432E-5	 4506818.84714131	 5364971.21298184	 5431702.376776312	 5431688.485893894	 4777472.413074534	 
11.0	 0.011748018097598916	 4.532412413519884E-5	 4369330.197387061	 5191112.350028416	 5255767.105671489	 5255753.638760168	 4645728.6707698535	 
12.5	 0.011872997013530819	 4.6819352165977674E-5	 4213282.337695993	 4999182.880024565	 5061542.766418401	 5061529.768419209	 4493243.081393262	 
14.0	 0.011997975929462723	 4.850543326272632E-5	 4044411.5367879192	 4793837.970391432	 4853739.366386126	 4853726.871134657	 4325840.294788317	 
15.5	 0.012122954845394626	 5.0380486059727314E-5	 3867507.3730446408	 4579521.816489194	 4636853.576153771	 4636841.606841026	 4148467.6281559225	 
17.0	 0.012247933761326529	 5.244242334901422E-5	 3685102.2036394104	 4360303.824424079	 4415002.986095109	 4414991.556118286	 3963877.244082278	 
18.49999999999997	 0.012372912677258431	 5.4688955122784156E-5	 3501181.716855568	 4139770.591360027	 4191816.8055531927	 4191805.9196276725	 3776272.41152653	 
20.0	 0.012497891593190336	 5.711759192007833E-5	 3317970.4080102537	 3920969.77787132	 3970379.056119994	 3970368.711531911	 3588120.7415841906	 
21.5	 0.012622870509122239	 5.972564847655261E-5	 3138032.838333624	 3706397.546964572	 3753215.839131953	 3753206.027029316	 3402212.150014208	 
22.99999999999997	 0.012747849425054142	 6.251024767587995E-5	 2962750.8564017867	 3498019.2162988787	 3542316.2053642245	 3542306.9120079875	 3220153.099219572	 
24.5	 0.012872828340986046	 6.546832480096786E-5	 2793484.3229390504	 3297312.6449812423	 3339176.02768255	 3339167.2356030564	 3043502.5265104277	 
26.0	 0.012997807256917949	 6.859663208279093E-5	 2631159.1921087704	 3105325.009465506	 3144855.4231046825	 3144847.1121304873	 2873364.7107590954	 
27.49999999999997	 0.013122786172849852	 7.189174354417205E-5	 2476614.5673688995	 2922735.4045548365	 2960042.0723639936	 2960034.220507743	 2710730.0442086947	 
29.0	 0.013247765088781756	 7.535006013533716E-5	 2330283.5441036522	 2749917.661630874	 2785114.7635324923	 2785107.347731773	 2556161.6268130615	 
30.5	 0.013372744004713659	 7.896781515749008E-5	 2192445.823047965	 2586999.597637961	 2620203.3285927395	 2620196.3253128957	 2410047.507035817	 
31.99999999999997	 0.013497722920645562	 8.274107997001513E-5	 2063149.1086228867	 2433916.4321107417	 2465242.683208212	 2465236.068919692	 2272524.288886079	 
33.5	 0.013622701836577466	 8.666576997620767E-5	 1942143.9173233458	 2290457.281356585	 2320019.8653759067	 2320013.616921525	 2143416.057771965	 
35.0	 0.013747680752509369	 9.073765088166461E-5	 1828774.1162094492	 2156304.473129058	 2184213.8126246105	 2184207.90749297	 2022129.2063896838	 
36.49999999999997	 0.013872659668441272	 9.495234521863488E-5	 1722553.2941311481	 2031065.971697689	 2057428.1704407958	 2057422.5869616563	 1908222.2727222666	 
38.0	 0.013997638584373176	 9.930533912872713E-5	 1623918.7939321045	 1914301.524514881	 1939217.749746001	 1939212.4672221232	 1802146.6611631825	 
39.5	 0.014122617500305079	 1.0379198939541336E-4	 1531831.9850013265	 1805543.2985138695	 1829109.4100167204	 1829104.408805053	 1702898.3553316968	 
40.99999999999997	 0.014247596416236982	 1.0840753071675346E-4	 1445950.2477431106	 1704311.8186524927	 1726618.1898378984	 1726613.4513911759	 1610146.4043155946	 
42.5	 0.014372575332168886	 1.131470832076891E-4	 1366240.6883086285	 1610127.9948453878	 1631259.479987414	 1631254.986865453	 1523856.5666897842	 
44.0	 0.01449755424810079	 1.1800566012012975E-4	 1291966.1625961114	 1522521.956341629	 1542557.966353322	 1542553.7022116638	 1443301.5644825087	 
45.49999999999997	 0.014622533164032692	 1.2297817576790282E-4	 1222878.2969674836	 1441039.3261153488	 1460053.982544848	 1460049.9321069391	 1368227.6397275003	 
47.0	 0.014747512079964597	 1.2805945364242286E-4	 1158703.369563886	 1365245.475865598	 1383307.819057883	 1383303.9680757164	 1298354.3914484475	 
48.5	 0.0148724909958965	 1.3324423470372084E-4	 1098927.5874521863	 1294728.213282	 1311902.4459105395	 1311898.7811176307	 1233164.3078070239	 
49.99999999999997	 0.014997469911828402	 1.3852718583022387E-4	 1043455.8007349481	 1229099.2720297033	 1245445.0235363552	 1245441.532596038	 1172548.5802752126	 
51.5	 0.015122448827760307	 1.439029084094354E-4	 991660.9468805542	 1167994.9035962066	 1183567.5045945449	 1183564.1760458662	 1115877.1780108544	 
53.0	 0.01524742774369221	 1.4936594705040957E-4	 943444.4305456773	 1111075.8092630124	 1125926.5677756795	 1125923.3909785924	 1063036.2779380907	 
54.49999999999997	 0.015372406659624112	 1.549107983977064E-4	 898723.1798360469	 1058026.5996003964	 1072203.0732275909	 1072200.0383086917	 1013927.71278248	 
56.0	 0.015497385575556017	 1.6053192002531987E-4	 856818.055411636	 1008554.9271093735	 1022101.1869661493	 1022098.2847658461	 967872.8438328519	 
